Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,32.139999,32.180000,29.850000,30.100000,27.916563,25173900
2016-12-02,30.200001,31.450001,30.059999,31.440001,29.159353,15229600
2016-12-05,31.700001,31.840000,31.340000,31.530001,29.242838,13035900
2016-12-06,31.709999,31.830000,31.209999,31.610001,29.317028,10088000
2016-12-07,31.799999,32.650002,31.290001,32.509998,30.151735,12589000
2016-12-08,32.779999,32.919998,32.450001,32.709999,30.337236,10131400
2016-12-09,32.779999,32.830002,31.910000,32.349998,30.003344,10774400
2016-12-12,32.180000,32.320000,31.670000,32.000000,29.678736,7709200
2016-12-13,32.040001,32.369999,31.950001,32.029999,29.706558,6322000
2016-12-14,31.930000,32.360001,31.870001,32.139999,29.808580,10482800
2016-12-15,32.340000,33.099998,31.959999,33.060001,30.661850,11742600
2016-12-16,33.400002,33.400002,32.419998,32.509998,30.151735,13336500
2016-12-19,32.250000,32.759998,32.250000,32.439999,30.086815,10385100
2016-12-20,32.750000,32.910000,32.349998,32.610001,30.244490,8185600
2016-12-21,32.500000,32.990002,32.500000,32.580002,30.216667,6521200
2016-12-22,32.950001,33.619999,32.860001,33.009998,30.615467,9492900
2016-12-23,32.919998,33.000000,32.660000,32.900002,30.513449,4028100
2016-12-27,33.150002,33.459999,33.099998,33.330002,30.912264,5008500
2016-12-28,33.549999,33.680000,32.880001,32.900002,30.513449,5388600
2016-12-29,32.799999,32.990002,32.480000,32.660000,30.290861,4472500
2016-12-30,32.860001,32.910000,32.180000,32.270000,29.929148,5887700
2017-01-03,32.360001,32.709999,31.660000,31.940001,29.623087,13209400
2017-01-04,32.090000,32.509998,32.060001,32.240002,29.901329,9460600
2017-01-05,32.299999,32.400002,31.910000,32.099998,29.771481,7290200
2017-01-06,32.040001,32.230000,31.860001,32.040001,29.715839,7063600
2017-01-09,32.270000,33.070000,32.209999,32.779999,30.402159,9271800
2017-01-10,32.869999,33.200001,32.740002,33.130001,30.726768,8753300
2017-01-11,33.209999,33.480000,32.799999,33.470001,31.042112,10620100
2017-01-12,33.250000,33.340000,32.599998,33.310001,30.893717,6484100
2017-01-13,33.320000,33.900002,33.299999,33.790001,31.338894,6911200
2017-01-17,33.790001,33.830002,33.090000,33.299999,30.884430,6428600
2017-01-18,33.680000,34.000000,33.529999,33.689999,31.246147,10609400
2017-01-19,33.700001,34.130001,33.669998,33.750000,31.301786,8333400
2017-01-20,33.919998,34.180000,33.770000,33.840000,31.385260,8571700
2017-01-23,33.759998,34.200001,33.560001,33.750000,31.301786,7254400
2017-01-24,33.889999,34.209999,33.880001,34.029999,31.561476,9702800
2017-01-25,34.299999,34.830002,34.220001,34.419998,31.923178,12086300
2017-01-26,34.419998,34.470001,33.849998,33.980000,31.515106,9375500
2017-01-27,34.259998,35.150002,34.220001,35.040001,32.498219,11055900
2017-01-30,34.790001,34.830002,33.770000,34.340000,31.848993,11183800
2017-01-31,34.139999,34.320000,33.930000,34.250000,31.765522,9468000
2017-02-01,34.590000,35.049999,34.500000,35.029999,32.488949,15244900
2017-02-02,34.970001,35.029999,34.639999,34.939999,32.405464,7518000
2017-02-03,34.980000,35.389999,34.980000,35.310001,32.748631,8560300
2017-02-06,35.320000,35.389999,35.009998,35.180000,32.628063,5877100
2017-02-07,35.380001,35.639999,35.070000,35.540001,32.961941,8155200
2017-02-08,35.799999,35.799999,35.180000,35.599998,33.017593,8735900
2017-02-09,35.750000,35.849998,35.380001,35.410000,32.841377,6515500
2017-02-10,35.639999,35.639999,35.090000,35.320000,32.757900,11636400
2017-02-13,35.720001,35.830002,35.369999,35.459999,32.887745,11900300
2017-02-14,35.500000,35.549999,35.119999,35.230000,32.674431,9956600
2017-02-15,35.459999,35.740002,35.259998,35.490002,32.915569,17410000
2017-02-16,35.619999,35.650002,34.580002,35.180000,32.628063,21684900
2017-02-17,34.970001,35.799999,34.720001,35.669998,33.176823,14892800
2017-02-21,35.520000,36.820000,35.520000,36.580002,34.023224,13814800
2017-02-22,36.450001,36.669998,36.209999,36.509998,33.958111,10380000
2017-02-23,36.560001,36.660000,35.900002,36.160000,33.632580,7852500
2017-02-24,35.810001,36.320000,35.549999,36.299999,33.762783,7505800
2017-02-27,36.470001,36.500000,36.099998,36.430000,33.883701,6490900
2017-02-28,36.330002,36.439999,36.099998,36.220001,33.688370,8585600
2017-03-01,36.520000,36.930000,36.500000,36.849998,34.274349,7298300
2017-03-02,36.709999,36.950001,36.330002,36.490002,33.939503,7854800
2017-03-03,36.439999,36.880001,36.419998,36.869999,34.292950,7244100
2017-03-06,36.680000,36.959999,36.509998,36.860001,34.283649,9219100
2017-03-07,36.810001,37.259998,36.750000,36.970001,34.385967,7841500
2017-03-08,37.009998,37.230000,36.959999,37.189999,34.590588,8052700
2017-03-09,37.029999,37.480000,37.020000,37.380001,34.767307,8494100
2017-03-10,37.660000,38.189999,37.650002,38.119999,35.455582,11486500
2017-03-13,38.200001,38.590000,38.169998,38.439999,35.753212,9111400
2017-03-14,38.349998,38.439999,37.779999,38.270000,35.595093,9646600
2017-03-15,38.410000,38.950001,38.299999,38.919998,36.199665,9405800
2017-03-16,39.000000,39.279999,38.849998,39.049999,36.320576,8305200
2017-03-17,39.340000,39.380001,39.090000,39.279999,36.534500,11023700
2017-03-20,39.330002,39.770000,39.209999,39.570000,36.804230,6916900
2017-03-21,39.700001,39.810001,38.299999,38.580002,35.883423,13550100
2017-03-22,38.480000,38.830002,38.340000,38.820000,36.106651,9075700
2017-03-23,38.840000,39.110001,38.610001,38.849998,36.134556,6904600
2017-03-24,39.380001,39.680000,38.740002,38.970001,36.246170,9059900
2017-03-27,38.450001,39.000000,38.299999,38.860001,36.143856,6823900
2017-03-28,38.740002,39.200001,38.709999,38.820000,36.106651,7924900
2017-03-29,38.820000,38.950001,38.660000,38.869999,36.153152,6404400
2017-03-30,38.910000,39.130001,38.799999,38.889999,36.171757,5997700
2017-03-31,38.799999,39.040001,38.529999,38.900002,36.181065,8567600
2017-04-03,38.990002,39.060001,38.520000,38.889999,36.171757,7165100
2017-04-04,38.709999,39.020000,38.660000,39.000000,36.274067,7241400
2017-04-05,39.160000,39.349998,38.380001,38.380001,35.697403,6927400
2017-04-06,38.349998,38.650002,37.849998,38.580002,35.883423,7158900
2017-04-07,38.450001,39.029999,38.450001,38.930000,36.208973,6318100
2017-04-10,38.820000,39.200001,38.740002,38.860001,36.143856,7339600
2017-04-11,38.689999,38.689999,37.599998,38.200001,35.529987,10549700
2017-04-12,38.349998,38.369999,37.630001,37.770000,35.130032,6802500
2017-04-13,37.669998,38.250000,37.410000,37.520000,34.897514,5754000
2017-04-17,37.639999,38.029999,37.570000,38.020000,35.362572,5242500
2017-04-18,37.790001,38.110001,37.599998,38.049999,35.390469,6047300
2017-04-19,39.200001,39.660000,39.150002,39.250000,36.506599,13394400
2017-04-20,39.540001,39.970001,39.150002,39.889999,37.101860,9402800
2017-04-21,39.900002,40.090000,39.470001,39.790001,37.008854,8762000
2017-04-24,40.369999,40.610001,40.090000,40.439999,37.613422,6925300
2017-04-25,40.619999,40.869999,40.279999,40.790001,37.938957,7236900
2017-04-26,40.779999,40.919998,40.419998,40.709999,37.864544,5578300
2017-04-27,40.959999,41.820000,40.939999,41.330002,38.441212,8312500
2017-04-28,41.099998,41.330002,40.580002,40.610001,37.771538,9209000
2017-05-01,40.980000,41.709999,40.849998,41.700001,38.785355,7478300
2017-05-02,41.720001,41.750000,41.130001,41.709999,38.794662,6950800
2017-05-03,41.709999,41.709999,41.200001,41.549999,38.645836,5673900
2017-05-04,41.650002,41.810001,41.410000,41.619999,38.710949,5016100
2017-05-05,41.849998,41.889999,41.299999,41.830002,38.906269,4748200
2017-05-08,41.900002,41.959999,41.439999,41.540001,38.636532,6380000
2017-05-09,41.820000,42.250000,41.720001,42.040001,39.101593,8074600
2017-05-10,42.529999,43.090000,42.470001,42.869999,39.873569,11555100
2017-05-11,43.020000,43.480000,42.730000,43.480000,40.440933,11149900
2017-05-12,43.529999,43.639999,43.060001,43.439999,40.403732,9365100
2017-05-15,43.880001,44.430000,43.709999,44.320000,41.222233,12098100
2017-05-16,44.799999,45.080002,44.310001,45.070000,41.919796,13410500
2017-05-17,44.580002,44.700001,42.730000,42.759998,39.771263,20062000
2017-05-18,43.099998,44.099998,42.840000,43.910000,40.840885,21882200
2017-05-19,45.049999,45.740002,43.910000,44.080002,40.999008,23338600
2017-05-22,44.189999,45.000000,43.619999,44.730000,41.603565,12606300
2017-05-23,44.810001,44.939999,44.299999,44.910000,41.864586,8541900
2017-05-24,45.000000,45.130001,44.470001,44.630001,41.603573,7565600
2017-05-25,44.759998,45.330002,44.549999,45.020000,41.967117,8662600
2017-05-26,44.869999,45.500000,44.750000,45.500000,42.414574,6633400
2017-05-30,45.470001,45.740002,45.209999,45.560001,42.470501,6593500
2017-05-31,45.660000,46.040001,45.330002,45.880001,42.768806,13082100
2017-06-01,45.970001,46.259998,45.799999,46.000000,42.880669,7176800
2017-06-02,46.220001,46.860001,45.900002,46.799999,43.626419,9523900
2017-06-05,46.630001,47.240002,46.509998,46.720001,43.551842,6807600
2017-06-06,46.570000,47.209999,46.480000,46.570000,43.412018,7806200
2017-06-07,46.700001,47.340000,46.619999,47.259998,44.055214,8026500
2017-06-08,47.400002,47.470001,46.930000,47.430000,44.213699,7936100
2017-06-09,47.619999,47.860001,43.410000,44.740002,41.706116,20477200
2017-06-12,44.139999,44.500000,42.320000,44.340000,41.333237,20623500
2017-06-13,44.910000,45.500000,44.279999,44.849998,41.808651,12330600
2017-06-14,45.080002,45.290001,43.369999,43.980000,40.997654,10697300
2017-06-15,43.189999,43.669998,42.830002,43.160000,40.233253,11523000
2017-06-16,43.189999,43.900002,43.060001,43.110001,40.186646,10775100
2017-06-19,43.700001,44.389999,43.630001,44.290001,41.286629,9649900
