Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,144.419998,145.369995,143.789993,144.070007,123.378975,1355400
2016-12-02,144.000000,145.059998,143.449997,144.550003,123.790047,1301700
2016-12-05,146.210007,147.850006,145.759995,147.330002,126.170792,1783700
2016-12-06,147.190002,147.500000,146.020004,146.570007,125.519951,866200
2016-12-07,146.809998,148.589996,145.889999,148.539993,127.207031,1159400
2016-12-08,148.610001,149.149994,148.089996,149.059998,127.652344,836300
2016-12-09,148.839996,149.699997,147.970001,149.550003,128.071991,669800
2016-12-12,149.860001,150.389999,148.970001,149.639999,128.149017,802800
2016-12-13,150.029999,150.449997,148.270004,149.119995,127.703712,1025400
2016-12-14,148.979996,149.830002,147.110001,148.179993,126.898689,1526200
2016-12-15,147.860001,149.399994,147.449997,149.089996,127.678055,1069800
2016-12-16,149.270004,149.520004,147.259995,147.429993,126.256393,2204700
2016-12-19,147.350006,148.000000,146.889999,147.720001,126.504776,761600
2016-12-20,147.899994,149.809998,147.050003,147.500000,126.316383,1793800
2016-12-21,148.320007,148.509995,147.009995,147.350006,126.187897,970400
2016-12-22,147.110001,147.960007,145.690002,146.089996,125.108879,1091300
2016-12-23,146.029999,146.600006,145.639999,146.479996,125.442863,587400
2016-12-27,146.619995,147.559998,146.619995,147.380005,126.213623,1029600
2016-12-28,147.669998,147.669998,145.020004,145.119995,124.278206,630000
2016-12-29,144.449997,145.050003,144.169998,144.369995,124.372978,479300
2016-12-30,144.529999,144.820007,143.229996,143.820007,123.899132,725900
2017-01-03,143.559998,144.729996,142.839996,143.399994,123.537323,1402100
2017-01-04,144.039993,144.839996,143.690002,144.649994,124.614159,2012200
2017-01-05,144.380005,144.419998,142.839996,143.220001,123.382278,1260300
2017-01-06,143.240005,144.800003,142.949997,144.360001,124.364357,1745900
2017-01-09,144.300003,147.589996,144.289993,146.309998,126.044228,2370400
2017-01-10,146.490005,146.889999,145.210007,145.259995,125.139679,1038800
2017-01-11,144.789993,146.100006,144.789993,146.009995,125.785797,1000800
2017-01-12,145.960007,145.960007,144.199997,145.839996,125.639359,654000
2017-01-13,145.699997,146.080002,145.050003,145.350006,125.217209,996500
2017-01-17,145.070007,145.839996,144.669998,145.339996,125.208611,1268700
2017-01-18,145.559998,146.350006,144.559998,146.330002,126.061462,1147600
2017-01-19,146.360001,146.639999,145.169998,145.470001,125.320595,1239400
2017-01-20,145.699997,146.779999,145.589996,146.619995,126.311310,1150000
2017-01-23,146.389999,146.880005,144.770004,146.070007,125.837479,1268400
2017-01-24,146.550003,147.410004,146.259995,147.130005,126.750656,2016400
2017-01-25,147.500000,148.729996,147.149994,148.529999,127.956749,1597800
2017-01-26,148.240005,149.460007,147.679993,148.809998,128.197937,1856100
2017-01-27,140.000000,142.470001,137.050003,142.009995,122.339821,5469500
2017-01-30,140.100006,141.830002,139.910004,140.990005,121.461113,2724900
2017-01-31,140.990005,141.220001,139.139999,139.759995,120.401474,2483800
2017-02-01,139.320007,140.240005,138.000000,138.679993,119.471100,1652300
2017-02-02,138.679993,139.850006,137.460007,139.279999,119.987976,1438500
2017-02-03,139.770004,140.289993,139.149994,140.160004,120.746109,1300200
2017-02-06,140.000000,140.270004,138.639999,139.050003,119.789879,808600
2017-02-07,139.089996,139.490005,137.880005,138.800003,119.574463,1466900
2017-02-08,138.179993,138.809998,137.720001,138.589996,119.393555,1649000
2017-02-09,138.589996,139.460007,138.220001,138.539993,119.350456,1298000
2017-02-10,138.899994,140.440002,138.539993,140.130005,120.720253,2272600
2017-02-13,140.750000,141.250000,139.850006,140.500000,121.038986,1670500
2017-02-14,140.399994,142.259995,139.750000,142.130005,122.443237,2001500
2017-02-15,141.669998,142.990005,141.190002,142.380005,122.658592,1429000
2017-02-16,142.570007,143.119995,141.059998,141.869995,122.219223,860900
