Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,56.750202,59.102669,56.725948,58.415520,46.841099,3379484
2016-12-02,58.302345,58.908649,58.019402,58.132580,46.614220,2017794
2016-12-05,58.439774,58.965237,57.898140,58.181084,46.653114,1730563
2016-12-06,58.205334,58.383186,57.534355,58.350849,46.789242,2037215
2016-12-07,58.439774,60.331448,58.245754,60.315277,48.364449,1833234
2016-12-08,60.468876,61.034763,60.129345,60.727566,48.695038,1820246
2016-12-09,60.533550,60.970089,59.620049,60.113178,48.202385,1645457
2016-12-12,59.700890,60.024254,58.609539,59.021828,47.327274,1502089
2016-12-13,59.304771,59.417946,58.140663,58.439774,46.860550,2259628
2016-12-14,58.674213,58.860146,57.760712,58.367016,46.802208,1966212
2016-12-15,58.520615,58.989491,57.679871,57.728374,46.290112,2176873
2016-12-16,57.801132,57.890057,55.545673,56.087307,44.974197,5048692
2016-12-19,56.087307,56.637024,55.642685,55.941795,44.857521,2343002
2016-12-20,56.079224,56.693615,56.079224,56.402588,45.227005,2028433
2016-12-21,56.345997,56.750202,55.505257,55.561844,44.552845,2051688
2016-12-22,55.375908,55.610348,53.500404,53.848019,43.178604,3004920
2016-12-23,53.977364,54.446239,53.686337,53.912693,43.230469,1081880
2016-12-27,54.050121,54.187550,53.524654,53.726757,43.081367,1341898
2016-12-28,53.807598,54.147129,53.088116,53.443817,42.854485,1097961
2016-12-29,53.500404,53.993534,53.338722,53.589329,42.971169,1235639
2016-12-30,53.565079,53.767178,52.821342,53.225548,42.679474,1774848
2017-01-03,52.837509,54.163300,52.837509,53.823769,43.159153,3473991
2017-01-04,54.163300,55.327404,54.163300,54.438156,43.651806,3990933
2017-01-05,52.263542,52.473728,49.312855,50.153599,40.216206,10058666
2017-01-06,49.741310,49.959579,49.320938,49.498787,39.691128,5098296
2017-01-09,49.417946,50.064674,49.037994,49.555374,39.736507,3139753
2017-01-10,49.361359,50.388035,49.167339,49.595795,39.768913,2583846
2017-01-11,49.547291,49.773647,48.949070,49.531124,39.717056,2997870
2017-01-12,49.288601,49.466450,48.585285,49.078415,39.354042,2836070
2017-01-13,48.908649,49.329021,48.544868,49.062248,39.341084,2629615
2017-01-17,49.191593,50.315277,49.191593,49.426029,39.632774,2940596
2017-01-18,49.450283,50.080841,48.625706,50.016167,40.105988,3521986
2017-01-19,49.975746,50.121262,48.746967,49.248180,39.490181,2945544
