Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,164.595123,165.648773,160.360977,160.604874,146.914627,1085783
2016-12-02,161.453659,163.239029,160.731705,161.492676,147.726776,932545
2016-12-05,162.409760,163.004883,159.931702,160.399994,146.727158,1639590
2016-12-06,161.541458,161.541458,158.117065,160.731705,147.030640,1554105
2016-12-07,159.512192,160.048782,157.356094,159.990250,147.003754,1146463
2016-12-08,159.697556,161.414627,158.624390,159.648773,146.690048,1428748
2016-12-09,159.678055,162.721954,159.678055,162.448776,149.262711,797450
2016-12-12,162.448776,165.512192,162.448776,165.268295,151.853333,990868
2016-12-13,164.819519,167.746338,163.082932,164.019516,150.705994,1501010
2016-12-14,164.517075,165.170731,163.151215,163.658539,150.374313,884268
2016-12-15,163.756104,165.278046,162.936584,165.063416,151.665131,1111510
2016-12-16,165.190247,165.824387,163.034149,163.658539,150.374313,1507160
2016-12-19,163.736588,164.390244,162.234146,162.673172,149.468903,999273
2016-12-20,163.160980,163.726822,161.541458,162.097565,148.940033,679985
2016-12-21,161.921951,162.760971,160.868286,161.921951,148.778641,685008
2016-12-22,162.048782,162.302444,160.517075,161.863419,148.724869,692695
2016-12-23,162.156097,163.063416,161.570724,162.419510,149.235779,426708
2016-12-27,163.443909,164.360977,162.848785,162.985367,149.755737,423120
2016-12-28,163.141464,163.190247,161.219513,161.824387,148.689041,474780
2016-12-29,161.824387,162.809753,161.551224,162.097565,148.940033,730210
2016-12-30,162.887802,162.887802,161.004883,161.512192,148.402130,922910
2017-01-03,158.000000,161.258530,157.560974,161.121948,148.043610,1739118
2017-01-04,161.424393,161.853653,160.419510,160.917068,147.855347,1212370
2017-01-05,159.814636,161.287811,159.375610,160.780487,147.729843,1156918
2017-01-06,161.258530,164.468292,160.917068,163.795120,150.499756,1077788
2017-01-09,164.126831,165.531708,163.931702,164.751221,151.378296,1194535
2017-01-10,164.448776,168.682922,164.263412,166.770737,153.233871,1303493
2017-01-11,166.351227,169.502441,164.741470,169.473175,155.716949,1681513
2017-01-12,168.653656,169.453659,166.409760,169.258530,155.519730,1066513
2017-01-13,169.170731,169.912201,168.058533,169.121948,155.394211,662765
2017-01-17,168.321945,169.629272,167.131714,169.190247,155.456970,624738
2017-01-18,169.678055,169.843903,168.478043,169.736588,155.958954,932545
2017-01-19,169.073166,169.960983,168.468292,169.287811,155.546661,1841925
2017-01-20,169.541458,170.087799,167.834152,168.087799,154.444016,1503265
2017-01-23,168.204880,169.443909,166.634140,166.712189,153.180099,821640
2017-01-24,167.199997,167.600006,165.063416,166.204880,152.713928,803703
2017-01-25,166.721954,167.912201,166.292679,167.385361,153.798538,973545
2017-01-26,167.414627,168.234146,166.370728,166.917068,153.368317,769980
2017-01-27,168.107315,171.609756,167.668289,171.004883,157.124329,920553
2017-01-30,171.121948,171.121948,169.297562,170.556091,156.711975,1008908
2017-01-31,170.156097,173.209763,169.882935,172.965851,158.926147,1584343
2017-02-01,171.590240,174.770737,170.097565,174.604874,160.432129,1758798
2017-02-02,176.585373,177.014633,172.429276,173.629272,159.535706,1317330
2017-02-03,174.390244,175.073166,173.248779,174.995117,160.790695,1199558
2017-02-06,174.273178,174.575607,173.317078,174.009750,159.885284,742100
2017-02-07,174.634140,175.609756,174.126831,174.448776,160.288666,878630
2017-02-08,173.697556,174.653656,173.112198,173.717072,159.616379,549400
2017-02-09,173.717072,174.673172,172.341461,173.473175,159.392288,1475283
2017-02-10,173.473175,174.321945,173.209763,173.687805,159.589478,612643
2017-02-13,174.165848,174.546341,173.385361,174.195129,160.055634,452845
2017-02-14,174.087799,174.634140,173.385361,174.409760,160.252808,672195
2017-02-15,173.580490,176.087799,173.580490,175.697556,161.436127,876375
2017-02-16,175.843903,176.487808,174.556091,176.214630,161.911224,944025
2017-02-17,175.804871,176.487808,174.946335,176.487808,162.162231,830558
2017-02-21,176.360977,178.195129,175.521957,177.580490,163.166183,967293
2017-02-22,176.907318,178.126831,176.712189,177.512192,163.103424,665840
2017-02-23,177.785370,178.390244,177.121948,177.853653,163.417175,627915
2017-02-24,177.541458,178.946335,176.721954,178.946335,164.421173,674040
2017-02-27,178.692688,179.395126,177.882935,178.360977,163.883331,715860
2017-02-28,178.487808,179.395126,178.000000,178.585373,164.089523,658460
2017-03-01,179.180481,181.570724,178.331711,180.819519,166.142319,777463
2017-03-02,180.487808,180.800003,179.365860,180.224396,165.595490,520085
