Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,35.980000,37.330002,35.939999,36.830002,33.311104,4499100
2016-12-02,36.750000,36.950001,35.740002,36.070000,32.623714,3450200
2016-12-05,36.490002,37.799999,36.430000,37.490002,33.908043,3897100
2016-12-06,37.389999,39.500000,37.310001,39.160000,35.418491,6046100
2016-12-07,39.450001,41.980000,39.410000,41.599998,37.625351,5987100
2016-12-08,41.730000,41.930000,41.279999,41.630001,37.652485,3168200
2016-12-09,41.599998,41.880001,41.230000,41.860001,37.860508,2269000
2016-12-12,41.740002,41.759998,40.980000,41.099998,37.173119,2512500
2016-12-13,40.779999,41.020000,40.340000,40.770000,36.874649,2320900
2016-12-14,40.230000,40.439999,39.259998,39.310001,35.554150,2463000
2016-12-15,39.290001,39.950001,39.169998,39.459999,35.689819,2436900
2016-12-16,39.720001,39.980000,39.330002,39.740002,35.943066,4920900
2016-12-19,38.910000,39.849998,38.900002,39.849998,36.042553,2477300
2016-12-20,40.209999,40.930000,39.910000,40.380001,36.521915,2246400
2016-12-21,40.509998,40.840000,40.330002,40.570000,36.693771,1668500
2016-12-22,40.389999,40.430000,39.419998,39.630001,35.843582,1730100
2016-12-23,39.700001,39.930000,39.529999,39.730000,35.934021,865800
2016-12-27,39.799999,40.410000,39.759998,40.099998,36.268665,788900
2016-12-28,40.270000,40.480000,39.220001,39.330002,35.572243,1078000
2016-12-29,39.480000,39.669998,39.299999,39.490002,35.716938,1004200
2016-12-30,39.720001,39.759998,39.080002,39.439999,35.671734,1326300
2017-01-03,39.900002,40.250000,39.380001,40.070000,36.241539,1485500
2017-01-04,39.990002,40.900002,39.169998,40.820000,36.919884,1600900
2017-01-05,40.740002,41.119999,40.189999,40.770000,36.874649,1775400
2017-01-06,40.980000,41.369999,40.520000,41.099998,37.173119,1789300
2017-01-09,40.990002,41.320000,40.520000,40.820000,36.919884,1550900
2017-01-10,40.970001,41.410000,40.560001,40.770000,36.874649,2786900
2017-01-11,40.619999,40.689999,39.430000,40.119999,36.286758,4441000
2017-01-12,40.139999,40.380001,39.320000,39.990002,36.169186,2436100
2017-01-13,40.080002,40.490002,40.049999,40.299999,36.449562,1298800
2017-01-17,40.119999,40.279999,39.650002,39.790001,35.988293,1600700
2017-01-18,39.980000,39.980000,39.610001,39.779999,35.979248,2023600
2017-01-19,39.919998,39.980000,39.619999,39.820000,36.015411,1787900
2017-01-20,39.910000,40.029999,39.509998,39.860001,36.051601,1804400
2017-01-23,39.869999,40.119999,39.299999,39.500000,35.726006,1602000
2017-01-24,39.790001,40.529999,39.770000,40.430000,36.567146,2147200
2017-01-25,40.750000,41.310001,40.750000,41.299999,37.354012,911700
2017-01-26,41.119999,41.430000,40.700001,40.779999,36.883705,1238300
2017-01-27,40.790001,40.930000,40.200001,40.400002,36.540009,967100
2017-01-30,40.520000,40.639999,39.880001,40.560001,36.684715,1702100
2017-01-31,40.419998,40.860001,40.070000,40.830002,36.928917,1809000
2017-02-01,41.150002,41.500000,40.680000,41.029999,37.109814,1224600
2017-02-02,41.009998,41.270000,40.270000,40.470001,36.603310,1838100
2017-02-03,40.700001,40.880001,40.459999,40.599998,36.720894,1024100
2017-02-06,40.259998,40.590000,40.200001,40.570000,36.693771,863900
2017-02-07,40.490002,40.490002,39.700001,40.099998,36.268665,1678400
2017-02-08,40.139999,40.599998,39.849998,40.459999,36.594265,1994300
2017-02-09,40.000000,41.310001,40.000000,40.650002,36.766125,2560200
2017-02-10,40.889999,41.650002,40.799999,41.630001,37.652485,2099900
2017-02-13,41.669998,42.180000,41.389999,41.669998,37.688671,2286000
2017-02-14,41.740002,41.910000,41.119999,41.500000,37.534904,1693500
2017-02-15,41.500000,42.049999,41.110001,41.910000,37.905735,1532300
2017-02-16,41.930000,42.250000,41.180000,41.380001,37.426373,1359400
2017-02-17,40.970001,42.380001,40.660000,42.380001,38.330830,2272100
2017-02-21,42.619999,43.320000,42.220001,42.630001,38.556938,2429400
