Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,51.119999,52.930000,51.119999,52.840000,49.217499,1209700
2016-12-02,52.840000,53.290001,52.770000,52.840000,49.217499,968300
2016-12-05,53.029999,53.240002,52.570000,52.750000,49.133671,817000
2016-12-06,52.680000,53.450001,52.299999,53.389999,49.729797,590600
2016-12-07,53.509998,54.580002,53.470001,54.360001,50.633301,832600
2016-12-08,54.419998,55.470001,54.119999,55.400002,51.602005,790800
2016-12-09,54.560001,54.970001,53.209999,53.430000,49.767052,1126800
2016-12-12,52.980000,53.369999,52.509998,53.049999,49.413101,848100
2016-12-13,52.930000,53.580002,52.639999,53.419998,49.757740,718900
2016-12-14,53.439999,53.709999,52.889999,53.090000,49.450367,621500
2016-12-15,53.180000,53.570000,52.770000,53.360001,49.701851,541700
2016-12-16,53.500000,53.610001,52.480000,52.849998,49.226822,1336400
2016-12-19,53.099998,53.509998,52.750000,52.880001,49.254768,539200
2016-12-20,52.849998,53.480000,52.560001,53.430000,49.767052,496800
2016-12-21,53.490002,53.639999,52.770000,52.959999,49.329269,534000
2016-12-22,52.959999,53.150002,51.779999,52.009998,48.444397,814900
2016-12-23,52.060001,53.169998,51.840000,53.029999,49.394474,449600
2016-12-27,53.180000,53.430000,53.040001,53.310001,49.655289,217000
2016-12-28,53.240002,53.369999,52.680000,52.759998,49.142986,193300
2016-12-29,52.790001,52.990002,52.220001,52.689999,49.077778,406200
2016-12-30,52.650002,52.869999,51.919998,52.090000,48.518909,414700
2017-01-03,52.310001,52.310001,51.340000,51.540001,48.006630,807200
2017-01-04,51.790001,52.599998,51.790001,52.380001,48.789043,1036200
2017-01-05,52.099998,52.660000,51.840000,51.869999,48.313995,571200
2017-01-06,51.889999,51.950001,51.459999,51.689999,48.146339,539400
2017-01-09,51.840000,52.000000,51.040001,51.169998,47.661991,483300
2017-01-10,51.400002,52.680000,51.119999,52.240002,48.658642,654000
2017-01-11,52.570000,53.290001,51.509998,52.959999,49.329269,736800
2017-01-12,53.000000,53.160000,52.049999,52.740002,49.124355,403300
2017-01-13,53.040001,53.250000,52.820000,53.220001,49.571445,270700
2017-01-17,53.340000,53.509998,52.340000,52.689999,49.077778,492100
2017-01-18,53.060001,53.490002,52.200001,52.419998,48.826290,579300
2017-01-19,52.500000,52.709999,51.900002,52.009998,48.444397,351500
2017-01-20,52.189999,52.840000,51.590000,52.020000,48.453712,500200
2017-01-23,52.000000,52.130001,50.820000,51.450001,47.922783,349400
2017-01-24,51.799999,52.000000,51.360001,51.700001,48.155659,705400
2017-01-25,52.080002,52.189999,51.500000,51.750000,48.202217,771100
2017-01-26,51.889999,52.470001,51.669998,51.720001,48.174278,735900
2017-01-27,51.720001,51.740002,51.250000,51.480000,47.950745,884700
2017-01-30,51.070000,51.500000,50.490002,51.040001,47.540913,741300
2017-01-31,51.049999,51.580002,50.810001,51.509998,47.978683,949500
2017-02-01,52.740002,53.090000,52.439999,52.880001,49.254768,1348300
2017-02-02,52.709999,53.119999,52.330002,52.810001,49.189556,1056100
2017-02-03,52.970001,53.480000,52.860001,53.349998,49.692535,1138900
2017-02-06,53.470001,53.540001,53.110001,53.400002,49.739113,1037000
2017-02-07,54.430000,57.220001,53.779999,56.930000,53.027103,2277700
2017-02-08,57.250000,58.119999,56.950001,57.160000,53.241344,2192700
2017-02-09,57.169998,58.570000,57.160000,58.299999,54.303185,1092000
2017-02-10,58.459999,59.490002,58.369999,58.709999,54.685066,1299200
2017-02-13,59.000000,59.540001,58.720001,59.259998,55.197369,908100
2017-02-14,59.020000,59.619999,58.910000,59.380001,55.309143,867900
2017-02-15,59.549999,59.590000,59.110001,59.250000,55.188061,1191900
2017-02-16,59.450001,59.549999,58.480000,58.830002,54.796848,1004300
2017-02-17,58.740002,60.000000,58.650002,59.990002,55.877331,1059800
2017-02-21,59.990002,60.500000,59.490002,59.639999,55.551319,1222200
2017-02-22,59.509998,60.009998,59.419998,59.910000,55.952904,1121400
2017-02-23,59.900002,60.180000,59.110001,59.320000,55.401890,447500
2017-02-24,59.209999,59.669998,58.880001,59.380001,55.457932,622600
2017-02-27,59.090000,59.500000,58.880001,59.410000,55.485943,747600
2017-02-28,59.490002,59.759998,58.669998,58.900002,55.009628,1045700
2017-03-01,59.470001,60.119999,58.919998,59.779999,55.831505,847900
2017-03-02,59.529999,60.060001,59.279999,59.669998,55.728771,771800
2017-03-03,59.549999,59.869999,59.169998,59.340000,55.420567,833700
2017-03-06,59.369999,59.820000,58.930000,59.480000,55.551319,966600
2017-03-07,59.310001,60.099998,59.189999,59.480000,55.551319,930100
2017-03-08,59.509998,59.849998,59.110001,59.160000,55.252457,861100
2017-03-09,59.360001,59.840000,58.990002,59.540001,55.607357,1359300
2017-03-10,59.820000,60.220001,59.180000,59.200001,55.289810,898800
2017-03-13,59.139999,59.400002,58.700001,59.270000,55.355175,907100
2017-03-14,59.130001,59.500000,58.669998,59.419998,55.495274,717900
2017-03-15,59.490002,60.150002,59.490002,60.049999,56.083660,688100
2017-03-16,59.919998,61.000000,59.919998,60.599998,56.597340,854200
2017-03-17,60.599998,60.930000,60.029999,60.360001,56.373199,1806500
2017-03-20,60.200001,60.299999,59.599998,59.730000,55.784809,989300
2017-03-21,60.099998,60.279999,57.880001,57.950001,54.122372,1064700
2017-03-22,58.000000,58.549999,57.669998,58.060001,54.225105,880800
2017-03-23,57.910000,58.990002,57.820000,58.090000,54.253132,885900
2017-03-24,58.160000,58.369999,57.389999,57.630001,53.823509,536200
