Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,65.230003,65.379997,64.639999,65.080002,56.148468,4204700
2016-12-02,65.180000,65.470001,64.459999,64.720001,55.837891,4486800
2016-12-05,64.949997,65.199997,64.519997,64.629997,55.760235,4401800
2016-12-06,64.779999,65.129997,64.510002,65.029999,56.105347,4540800
2016-12-07,65.129997,65.949997,64.919998,65.930000,56.881821,6570000
2016-12-08,65.660004,66.000000,65.300003,65.699997,56.683384,3204400
2016-12-09,65.699997,66.370003,65.639999,66.290001,57.192413,2465300
2016-12-12,66.279999,66.949997,66.279999,66.750000,57.589275,3126500
2016-12-13,66.760002,67.300003,66.699997,66.889999,57.710072,3456400
2016-12-14,66.919998,67.139999,65.790001,65.910004,56.864563,3809300
2016-12-15,65.720001,66.349998,64.989998,66.230003,57.140656,4838100
2016-12-16,66.320000,66.470001,65.699997,66.230003,57.140656,4382800
2016-12-19,66.110001,66.489998,65.849998,66.059998,56.993965,2408800
2016-12-20,66.440002,66.449997,65.970001,66.389999,57.278690,2635800
2016-12-21,66.190002,66.730003,66.029999,66.050003,56.985359,2007100
2016-12-22,65.970001,66.430000,65.839996,66.370003,57.261436,1673600
2016-12-23,66.389999,66.500000,66.000000,66.269997,57.175167,1210700
2016-12-27,66.199997,66.419998,65.820000,66.010002,56.950851,1629500
2016-12-28,66.010002,66.239998,65.580002,65.610001,56.605751,1671300
2016-12-29,65.730003,66.000000,65.639999,65.889999,56.847313,2108800
2016-12-30,65.839996,66.070000,65.279999,65.440002,56.459072,3491300
2017-01-03,65.559998,65.650002,65.099998,65.540001,56.545349,3038900
2017-01-04,65.809998,66.370003,65.800003,66.260002,57.166538,4047900
2017-01-05,66.309998,66.989998,66.129997,66.849998,57.675564,2857800
2017-01-06,66.809998,67.489998,66.599998,67.360001,58.115566,2994800
2017-01-09,67.019997,67.099998,66.230003,66.419998,57.304577,3184000
2017-01-10,66.419998,66.430000,65.349998,65.389999,56.415932,3492400
2017-01-11,65.300003,65.410004,65.000000,65.309998,56.346916,3809000
2017-01-12,65.370003,65.940002,65.260002,65.849998,56.812805,2992400
2017-01-13,65.900002,66.029999,65.610001,65.879997,56.838680,1888100
2017-01-17,65.919998,67.180000,65.870003,67.099998,57.891254,5136600
2017-01-18,67.199997,68.190002,67.180000,67.860001,58.546963,5127300
2017-01-19,67.489998,67.550003,66.910004,67.040001,58.173832,2767900
2017-01-20,67.430000,68.349998,67.309998,67.949997,58.963467,3940600
2017-01-23,67.699997,67.879997,67.519997,67.550003,58.616371,2872900
2017-01-24,67.669998,68.349998,67.639999,68.260002,59.232479,2786300
2017-01-25,68.199997,68.449997,68.019997,68.430000,59.379982,3034800
2017-01-26,68.349998,68.500000,67.779999,68.239998,59.215130,4655900
2017-01-27,65.000000,65.050003,63.430000,64.680000,56.125923,14874900
2017-01-30,64.290001,64.849998,63.950001,64.529999,55.995781,7992400
