Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,72.930000,73.059998,72.199997,72.750000,56.326561,3177500
2016-12-02,73.370003,74.029999,73.349998,73.779999,57.124062,2952500
2016-12-05,73.459999,73.559998,72.550003,73.480003,56.891766,2851300
2016-12-06,73.550003,73.570000,72.559998,72.709999,56.295593,2897900
2016-12-07,73.000000,73.580002,72.790001,73.500000,56.907246,3935400
2016-12-08,73.160004,73.599998,72.629997,73.500000,56.907246,1868600
2016-12-09,73.510002,74.610001,73.410004,74.529999,57.704739,2224500
2016-12-12,74.349998,75.839996,74.349998,75.459999,58.424778,2479600
2016-12-13,75.680000,76.070000,75.339996,75.949997,58.804157,2326600
2016-12-14,76.190002,76.559998,74.070000,74.120003,57.387295,3767000
2016-12-15,74.239998,74.930000,73.930000,74.570000,57.735687,2729000
2016-12-16,74.639999,76.190002,74.639999,75.870003,58.742222,5570700
2016-12-19,76.370003,76.650002,75.750000,76.510002,59.237751,2359000
2016-12-20,76.440002,76.650002,76.040001,76.510002,59.237751,2136400
2016-12-21,76.639999,77.160004,76.220001,76.239998,59.028687,1837300
2016-12-22,76.360001,76.699997,76.000000,76.629997,59.330658,1664800
2016-12-23,76.680000,76.760002,76.120003,76.750000,59.423569,1074100
2016-12-27,76.610001,76.959999,76.250000,76.669998,59.361610,1163500
2016-12-28,76.730003,76.970001,76.250000,76.330002,59.098373,1734500
2016-12-29,76.529999,77.330002,76.290001,76.989998,59.609379,2342400
2016-12-30,77.040001,77.129997,76.389999,76.589996,59.299679,2459600
2017-01-03,76.570000,76.690002,75.959999,76.250000,59.036423,3017500
2017-01-04,76.389999,76.690002,75.919998,76.180000,58.982250,3426200
2017-01-05,75.790001,76.339996,75.120003,76.279999,59.059666,2688000
2017-01-06,76.040001,77.050003,75.889999,76.900002,59.539711,1848000
2017-01-09,76.930000,76.980003,75.680000,75.720001,58.626083,1947400
2017-01-10,75.589996,75.680000,75.120003,75.430000,58.401546,1534200
2017-01-11,75.440002,75.910004,75.239998,75.629997,58.556396,1902400
2017-01-12,75.650002,75.839996,75.040001,75.279999,58.285408,2468300
2017-01-13,75.070000,75.430000,74.699997,75.209999,58.231224,1992700
2017-01-17,75.570000,76.360001,75.330002,76.199997,58.997734,2111500
2017-01-18,75.989998,76.639999,75.940002,76.169998,58.974483,1913900
2017-01-19,75.779999,76.160004,75.360001,75.620003,58.548660,1397400
2017-01-20,75.730003,76.040001,75.290001,75.790001,58.680286,1739300
2017-01-23,75.910004,76.099998,75.449997,75.580002,58.517689,1530700
2017-01-24,75.529999,75.769997,75.320000,75.470001,58.432514,1898200
2017-01-25,75.459999,75.930000,75.209999,75.809998,58.695774,2161100
2017-01-26,75.720001,76.239998,75.500000,75.690002,58.602852,1537700
2017-01-27,75.690002,75.839996,75.220001,75.519997,58.471237,1393800
2017-01-30,75.779999,75.790001,75.010002,75.260002,58.269928,2287000
2017-01-31,75.309998,76.309998,75.279999,76.279999,59.059666,3056200
2017-02-01,74.360001,75.440002,71.820000,71.849998,55.629742,7279600
2017-02-02,71.870003,72.150002,70.870003,71.680000,55.498119,4336600
2017-02-03,71.720001,71.989998,71.250000,71.699997,55.513603,3695400
2017-02-06,72.050003,72.419998,71.510002,72.209999,55.908466,3223800
2017-02-07,72.260002,72.449997,71.709999,72.349998,56.016865,2436200
2017-02-08,72.559998,73.519997,72.489998,73.339996,56.783367,2711600
2017-02-09,73.260002,73.480003,71.589996,72.150002,55.862011,3752800
2017-02-10,72.150002,73.449997,71.830002,73.370003,56.806599,3563800
2017-02-13,73.410004,73.879997,73.180000,73.730003,57.085323,2829000
2017-02-14,73.589996,73.680000,72.830002,73.120003,56.613037,2824300
2017-02-15,72.550003,72.800003,71.959999,72.379997,56.040096,3184400
2017-02-16,72.529999,73.379997,72.400002,73.279999,56.736916,3026300
2017-02-17,73.269997,73.839996,72.839996,73.769997,57.116306,3426400
2017-02-21,73.650002,75.089996,73.419998,74.760002,57.882820,3541200
2017-02-22,74.750000,75.440002,74.300003,75.349998,58.339626,3105700
2017-02-23,75.620003,76.290001,75.360001,76.160004,58.966751,2513300
2017-02-24,76.449997,77.190002,76.440002,77.000000,59.617119,2384800
2017-02-27,76.889999,77.050003,76.540001,76.870003,59.516479,3344000
2017-02-28,76.669998,78.040001,76.669998,77.639999,60.112633,2920400
2017-03-01,75.879997,76.650002,75.580002,76.250000,59.616161,2663200
2017-03-02,75.989998,77.809998,75.910004,77.220001,60.374569,2604400
2017-03-03,77.190002,77.209999,75.980003,76.559998,59.858547,2956000
2017-03-06,76.300003,76.540001,76.019997,76.239998,59.608334,1948100
2017-03-07,75.980003,76.379997,75.959999,76.120003,59.514530,2479700
2017-03-08,75.519997,75.650002,74.589996,75.129997,58.740482,1878500
2017-03-09,75.209999,75.699997,74.849998,74.900002,58.560658,1381800
2017-03-10,75.250000,75.750000,75.110001,75.669998,59.162685,1623600
2017-03-13,75.620003,76.190002,75.459999,76.089996,59.491077,2728600
2017-03-14,75.930000,76.720001,75.820000,76.330002,59.678715,2089000
2017-03-15,76.599998,78.209999,76.440002,77.849998,60.867115,2779700
2017-03-16,78.040001,78.040001,76.480003,76.800003,60.046196,2652300
2017-03-17,77.089996,77.480003,76.620003,77.120003,60.296391,3797800
2017-03-20,77.570000,77.760002,76.510002,76.830002,60.069641,2149300
2017-03-21,76.830002,78.610001,76.830002,78.209999,61.148598,3246700
2017-03-22,78.529999,79.360001,78.370003,78.650002,61.492619,3122700
2017-03-23,78.540001,78.900002,78.000000,78.260002,61.187687,2617700
2017-03-24,78.290001,78.620003,78.059998,78.260002,61.187687,2367300
2017-03-27,78.629997,78.730003,77.559998,77.919998,60.921864,2548700
2017-03-28,77.980003,78.180000,77.599998,78.059998,61.031330,2869000
2017-03-29,77.839996,77.930000,77.440002,77.669998,60.726391,1791500
2017-03-30,77.480003,77.489998,76.989998,77.410004,60.523125,1520200
2017-03-31,77.529999,77.970001,77.400002,77.570000,60.648201,2050500
2017-04-03,77.139999,77.769997,76.250000,77.739998,60.781116,1991000
2017-04-04,77.769997,78.010002,77.300003,77.620003,60.687305,1985600
2017-04-05,77.730003,78.080002,77.379997,77.959999,60.953133,1840000
2017-04-06,78.000000,78.360001,77.750000,78.209999,61.148598,2781700
2017-04-07,78.360001,78.459999,77.540001,77.589996,60.663841,2160500
2017-04-10,77.639999,77.980003,77.160004,77.910004,60.914059,1809500
2017-04-11,77.629997,77.919998,77.320000,77.480003,60.577850,1814200
2017-04-12,77.379997,77.980003,77.010002,77.930000,60.929680,2246700
2017-04-13,78.000000,78.000000,77.190002,77.529999,60.616928,2637200
2017-04-17,77.660004,78.050003,77.559998,77.940002,60.937496,2751500
2017-04-18,77.900002,78.230003,77.629997,77.989998,60.976582,2540600
2017-04-19,77.839996,77.959999,77.029999,77.339996,60.468388,1883900
2017-04-20,77.339996,77.410004,76.639999,77.360001,60.484020,2603600
2017-04-21,77.470001,78.120003,77.430000,77.540001,60.624760,3471900
2017-04-24,77.639999,78.220001,77.059998,78.070000,61.039143,2543300
2017-04-25,77.669998,77.900002,77.349998,77.699997,60.749851,1787700
2017-04-26,77.620003,78.010002,77.449997,77.489998,60.585659,1505800
2017-04-27,77.510002,77.940002,77.430000,77.690002,60.742023,1593300
2017-04-28,77.660004,77.839996,77.300003,77.430000,60.538742,2001600
2017-05-01,77.449997,77.550003,76.900002,76.940002,60.155647,1641400
2017-05-02,77.099998,77.330002,76.930000,77.220001,60.374569,1251800
2017-05-03,77.070000,77.230003,76.440002,76.570000,59.866356,2251200
2017-05-04,76.650002,77.389999,76.389999,77.300003,60.437099,2445400
2017-05-05,77.529999,78.529999,77.529999,78.230003,61.164242,2291200
2017-05-08,78.250000,78.599998,77.800003,78.529999,61.398785,2064900
2017-05-09,78.320000,78.470001,77.320000,77.480003,60.577850,1554000
2017-05-10,77.529999,77.900002,77.290001,77.730003,60.773300,1921400
2017-05-11,77.580002,77.709999,77.070000,77.610001,60.679485,1423300
2017-05-12,77.790001,78.279999,77.580002,77.930000,60.929680,1469700
2017-05-15,77.800003,78.160004,77.550003,77.970001,60.960953,1826900
2017-05-16,78.019997,78.160004,77.150002,77.209999,60.366749,2254800
2017-05-17,77.209999,77.930000,76.949997,77.480003,60.577850,2542400
2017-05-18,77.620003,78.589996,77.190002,78.320000,61.234600,3371600
2017-05-19,78.480003,78.599998,77.580002,78.589996,61.445683,2718600
2017-05-22,78.150002,79.830002,78.150002,79.699997,62.313549,2354200
2017-05-23,79.690002,80.360001,79.559998,79.709999,62.321346,2119300
2017-05-24,79.820000,80.339996,79.699997,80.290001,62.774830,1520400
2017-05-25,80.190002,81.070000,80.089996,80.970001,63.306503,1875600
2017-05-26,80.849998,81.190002,80.760002,81.029999,63.353394,2080700
2017-05-30,80.940002,81.300003,80.690002,81.019997,63.345589,1877900
2017-05-31,80.269997,81.129997,80.269997,80.769997,63.744141,2416800
2017-06-01,80.769997,81.410004,80.330002,81.410004,64.249245,2271500
2017-06-02,81.489998,81.650002,81.010002,81.199997,64.083511,2530100
2017-06-05,81.209999,81.209999,80.559998,80.680000,63.673126,2377400
2017-06-06,80.809998,80.879997,80.190002,80.300003,63.373219,2305000
2017-06-07,80.500000,80.599998,80.239998,80.459999,63.499489,3376100
2017-06-08,80.459999,80.459999,79.050003,79.669998,62.876019,2955300
2017-06-09,79.470001,79.580002,78.720001,79.279999,62.568226,3854600
2017-06-12,79.440002,79.730003,78.889999,79.459999,62.710262,1990500
2017-06-13,79.309998,79.470001,78.919998,79.370003,62.639259,2483500
2017-06-14,80.000000,80.430000,79.650002,79.989998,63.128571,3192300
2017-06-15,79.769997,80.230003,79.610001,80.180000,63.278511,2610700
2017-06-16,80.279999,81.000000,80.250000,80.709999,63.696804,4581800
2017-06-19,80.709999,80.709999,80.089996,80.370003,63.428471,2931600
2017-06-20,80.510002,80.550003,80.089996,80.199997,63.294300,2382000
2017-06-21,80.199997,80.209999,78.730003,79.160004,62.473526,2542400
2017-06-22,78.910004,79.330002,78.750000,78.930000,62.292019,2518300
2017-06-23,78.919998,79.160004,78.099998,78.389999,61.865837,3807100
2017-06-26,78.489998,79.459999,78.180000,78.650002,62.071033,4213700
2017-06-27,78.430000,78.589996,77.769997,77.900002,61.479122,3296800
2017-06-28,78.139999,78.150002,76.970001,77.050003,60.808296,3125000
2017-06-29,76.639999,77.430000,76.169998,77.059998,60.816185,3798200
2017-06-30,77.129997,77.610001,76.620003,76.629997,60.476837,2944900
2017-07-03,76.940002,77.169998,76.029999,76.099998,60.058548,1375200
2017-07-05,76.139999,76.250000,75.720001,75.800003,59.821793,3349600
2017-07-06,75.709999,75.959999,75.430000,75.720001,59.758663,2033500
2017-07-07,75.800003,76.029999,75.570000,75.790001,59.813896,1687000
2017-07-10,75.849998,75.980003,75.500000,75.599998,59.663944,3585400
2017-07-11,75.599998,76.070000,75.400002,76.029999,60.003300,2651000
2017-07-12,76.739998,77.000000,76.500000,76.580002,60.437389,2345700
2017-07-13,76.470001,76.510002,76.070000,76.110001,60.066452,1561600
2017-07-14,76.589996,76.900002,76.500000,76.550003,60.413692,1729900
2017-07-17,76.550003,76.690002,76.349998,76.620003,60.468937,1314700
2017-07-18,76.750000,77.080002,76.500000,76.860001,60.658360,1568700
2017-07-19,76.919998,77.019997,76.739998,76.980003,60.753067,1407300
2017-07-20,77.250000,77.250000,76.669998,76.949997,60.729370,2211900
2017-07-21,76.860001,77.570000,76.750000,77.570000,61.218685,2312200
2017-07-24,77.559998,77.559998,76.629997,76.769997,60.587315,1827800
2017-07-25,76.849998,77.029999,76.400002,76.790001,60.603123,1783100
2017-07-26,76.699997,77.099998,76.599998,77.050003,60.808296,1395400
2017-07-27,76.860001,77.230003,76.779999,77.120003,60.863560,1553300
2017-07-28,77.129997,77.309998,76.769997,76.989998,60.760956,1232800
2017-07-31,77.000000,77.339996,76.720001,77.180000,60.910885,1936600
2017-08-01,77.269997,77.500000,77.059998,77.300003,61.005592,1967700
2017-08-02,77.150002,77.870003,76.559998,77.860001,61.447556,1674600
2017-08-03,77.690002,78.470001,77.620003,78.400002,61.873734,2583700
2017-08-04,78.080002,78.330002,77.410004,78.080002,61.621181,2025900
2017-08-07,78.010002,78.220001,77.779999,77.919998,61.494911,1629400
2017-08-08,77.750000,78.019997,77.610001,77.959999,61.526466,1266800
2017-08-09,78.320000,78.320000,77.699997,77.839996,61.431782,1596500
2017-08-10,77.739998,78.019997,77.470001,77.820000,61.415970,1581500
2017-08-11,77.949997,77.949997,77.050003,77.389999,61.076630,1462500
2017-08-14,77.489998,77.860001,77.419998,77.680000,61.305508,1534100
2017-08-15,77.440002,78.059998,77.400002,77.900002,61.479122,3282800
