Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,75.620003,76.029999,74.180000,74.410004,61.100422,1111200
2016-12-02,74.360001,75.309998,74.330002,74.629997,61.281063,1127100
2016-12-05,75.220001,75.870003,74.800003,75.129997,61.691628,1985500
2016-12-06,74.830002,76.040001,74.309998,75.410004,61.921551,2170800
2016-12-07,75.550003,76.930000,74.989998,76.900002,63.145035,1889200
2016-12-08,77.150002,77.980003,76.690002,77.769997,63.859425,1868600
2016-12-09,77.489998,77.669998,76.830002,77.199997,63.391396,1449100
2016-12-12,77.370003,77.849998,76.639999,76.910004,63.153255,1300400
2016-12-13,76.500000,77.279999,76.459999,77.070000,63.707085,1489600
2016-12-14,76.800003,77.360001,75.540001,75.639999,62.525028,1869400
2016-12-15,75.349998,76.930000,75.040001,76.870003,63.541759,1762800
2016-12-16,77.199997,77.199997,75.790001,76.029999,62.847408,2338500
2016-12-19,75.860001,76.260002,75.750000,76.209999,62.996189,888800
2016-12-20,76.510002,76.629997,75.970001,76.269997,63.045799,664500
2016-12-21,76.410004,76.879997,75.900002,76.389999,63.144993,739000
2016-12-22,76.139999,76.639999,75.470001,75.930000,62.764744,602500
2016-12-23,75.910004,76.639999,75.610001,76.559998,63.285507,597700
2016-12-27,76.510002,76.849998,76.209999,76.480003,63.219387,490700
2016-12-28,76.879997,77.339996,75.550003,75.580002,62.475456,615200
2016-12-29,75.760002,76.150002,75.349998,75.519997,62.425823,515800
2016-12-30,75.760002,75.860001,74.919998,75.209999,62.169586,569900
2017-01-03,75.839996,76.629997,74.900002,75.919998,62.756481,1270600
2017-01-04,76.269997,77.349998,76.180000,77.180000,63.798016,980600
2017-01-05,77.269997,78.019997,76.830002,77.480003,64.045998,2053800
2017-01-06,77.620003,77.900002,76.970001,77.500000,64.062508,1112200
2017-01-09,77.320000,78.330002,76.529999,76.610001,63.326843,1233300
2017-01-10,76.820000,77.629997,76.550003,77.330002,63.922005,1021700
2017-01-11,77.589996,79.150002,77.440002,79.070000,65.360321,1656700
2017-01-12,78.709999,79.230003,76.989998,78.320000,64.740349,1367400
2017-01-13,78.320000,78.660004,77.599998,77.889999,64.384911,857900
2017-01-17,77.800003,77.900002,76.860001,76.940002,63.599621,1475900
2017-01-18,77.209999,77.540001,76.820000,77.190002,63.806290,1265800
2017-01-19,77.330002,77.500000,75.830002,76.019997,62.839134,1933400
2017-01-20,76.500000,77.610001,76.019997,76.739998,63.434315,2367000
2017-01-23,76.900002,77.389999,76.239998,76.769997,63.459091,1018600
2017-01-24,77.269997,78.550003,77.010002,78.220001,64.657692,1293900
2017-01-25,78.570000,79.459999,78.080002,79.389999,65.624825,1630400
2017-01-26,79.389999,80.480003,78.870003,80.290001,66.368790,2245600
2017-01-27,76.589996,78.459999,74.779999,77.699997,64.227837,3752300
2017-01-30,76.989998,77.750000,76.620003,77.620003,64.161713,1359100
2017-01-31,77.599998,78.580002,76.809998,77.500000,64.062508,1626800
2017-02-01,77.800003,78.580002,77.559998,78.300003,64.723808,1377700
