Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,338.450012,338.450012,327.859985,329.420013,293.642639,686200
2016-12-02,327.760010,335.079987,327.760010,330.679993,294.765869,601200
2016-12-05,332.260010,333.720001,331.000000,332.079987,296.013824,402800
2016-12-06,333.609985,342.809998,329.179993,329.489990,293.705139,948800
2016-12-07,330.209991,339.540009,327.369995,339.000000,302.182251,829100
2016-12-08,338.470001,348.329987,337.910004,346.459991,308.832031,647700
2016-12-09,345.049988,351.140015,343.589996,346.029999,308.448822,579100
2016-12-12,344.929993,359.440002,343.549988,357.220001,318.423492,895100
2016-12-13,357.119995,369.670013,357.119995,361.390015,322.140594,794300
2016-12-14,361.250000,364.299988,354.070007,354.589996,316.079071,872700
2016-12-15,355.260010,356.929993,348.799988,349.809998,311.818115,963900
2016-12-16,351.250000,354.970001,349.059998,350.000000,311.987549,988600
2016-12-19,351.420013,355.880005,349.500000,354.489990,315.989899,502000
2016-12-20,355.170013,357.450012,352.640015,354.739990,316.212860,513100
2016-12-21,355.489990,356.739990,349.760010,350.019989,312.005402,596200
2016-12-22,350.959991,351.760010,347.989990,351.040009,312.914581,628000
2016-12-23,352.100006,358.140015,350.369995,356.609985,317.879639,338100
2016-12-27,356.779999,359.649994,355.109985,356.720001,317.977783,294600
2016-12-28,357.220001,359.549988,353.429993,353.859985,315.428284,294400
2016-12-29,353.420013,358.929993,351.890015,357.089996,318.307587,372000
2016-12-30,358.149994,358.339996,353.480011,357.410004,318.592773,500500
2017-01-03,357.290009,360.480011,355.179993,358.720001,319.760559,411500
2017-01-04,358.529999,367.299988,357.100006,365.910004,326.169647,644300
2017-01-05,366.209991,370.000000,363.179993,369.750000,329.592590,492900
2017-01-06,369.940002,373.089996,367.890015,370.489990,330.252258,458400
2017-01-09,370.489990,375.149994,368.170013,373.190002,332.659027,568300
2017-01-10,373.510010,373.510010,368.010010,370.029999,329.842163,450000
2017-01-11,369.179993,374.799988,368.690002,371.579987,331.223785,547300
2017-01-12,371.420013,374.750000,368.799988,374.149994,333.514709,453400
2017-01-13,373.640015,377.200012,372.200012,374.950012,334.227875,260000
2017-01-17,374.769989,378.910004,373.299988,376.130005,335.279724,363200
2017-01-18,377.119995,378.899994,375.049988,376.730011,335.814484,353100
2017-01-19,376.730011,381.959991,375.329987,381.149994,339.754517,628200
2017-01-20,381.989990,383.459991,380.559998,383.269989,341.644226,397500
2017-01-23,382.640015,387.399994,381.410004,385.350006,343.498383,533200
2017-01-24,386.500000,389.970001,384.059998,389.660004,347.340240,401700
2017-01-25,389.309998,390.519989,383.140015,384.429993,342.678223,597400
2017-01-26,383.290009,387.329987,382.549988,384.209991,342.482208,507500
2017-01-27,385.260010,385.519989,382.000000,382.959991,341.367798,353000
2017-01-30,381.890015,386.440002,380.880005,386.369995,344.407501,313000
2017-01-31,386.450012,387.920013,383.709991,384.980011,343.168549,333600
2017-02-01,385.000000,386.799988,380.880005,381.299988,339.888153,471800
2017-02-02,381.920013,385.369995,380.320007,383.079987,341.474884,339000
2017-02-03,385.390015,386.399994,384.089996,384.820007,343.025909,286200
2017-02-06,385.260010,385.700012,381.260010,381.670013,340.218018,380500
2017-02-07,381.869995,383.549988,380.320007,380.640015,339.299896,383500
2017-02-08,381.630005,384.420013,380.410004,383.970001,342.268158,466600
2017-02-09,384.429993,387.130005,382.519989,385.799988,343.899414,471100
2017-02-10,386.850006,387.480011,384.339996,386.450012,344.478821,334100
2017-02-13,388.299988,388.299988,384.809998,386.690002,344.692810,339200
2017-02-14,386.899994,386.899994,380.140015,382.640015,341.082642,329100
2017-02-15,379.790009,383.609985,378.750000,380.760010,339.406921,457200
