Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,175.809998,177.389999,175.589996,176.399994,153.305603,1691600
2016-12-02,176.500000,178.729996,176.300003,178.669998,155.278427,1716000
2016-12-05,179.800003,180.089996,178.250000,178.520004,155.148071,1744600
2016-12-06,177.589996,178.770004,176.339996,178.089996,154.774353,1923500
2016-12-07,178.100006,178.470001,176.669998,178.429993,155.069794,1941800
2016-12-08,178.080002,178.130005,173.440002,173.669998,150.933029,2366100
2016-12-09,173.429993,175.639999,173.279999,175.389999,152.427841,1495400
2016-12-12,172.220001,174.130005,168.000000,173.740005,150.993866,2961300
2016-12-13,174.610001,176.279999,173.529999,174.309998,151.489258,1462800
2016-12-14,174.490005,175.500000,173.509995,173.740005,150.993866,1721100
2016-12-15,173.339996,175.860001,173.339996,174.119995,151.324112,1193700
2016-12-16,174.470001,176.399994,173.860001,174.410004,151.576157,3017400
2016-12-19,175.000000,175.750000,173.610001,174.630005,151.767365,1358800
2016-12-20,174.960007,176.070007,174.110001,175.259995,152.314865,1185600
2016-12-21,175.600006,175.919998,174.020004,174.100006,151.306747,944400
2016-12-22,174.559998,175.089996,173.880005,174.529999,151.680466,904700
2016-12-23,173.889999,175.460007,173.830002,175.250000,152.306229,685100
2016-12-27,175.949997,176.360001,173.970001,174.580002,151.723907,999300
2016-12-28,174.699997,175.309998,172.940002,173.050003,150.394165,1182500
2016-12-29,173.550003,174.070007,172.350006,173.210007,150.533249,967800
2016-12-30,173.750000,174.270004,171.649994,172.660004,150.055267,1192200
2017-01-03,174.389999,176.720001,174.259995,175.449997,152.479996,1321800
2017-01-04,176.139999,176.259995,174.210007,175.539993,152.558228,1238500
2017-01-05,175.779999,178.360001,175.100006,176.139999,153.079636,1279700
2017-01-06,176.000000,177.770004,175.740005,177.460007,154.226837,998600
2017-01-09,176.600006,177.500000,175.710007,176.070007,153.018829,1072100
2017-01-10,176.770004,177.899994,175.750000,176.360001,153.270844,1094600
2017-01-11,176.330002,177.110001,175.270004,177.070007,153.887909,1425700
2017-01-12,177.229996,177.229996,173.600006,176.520004,153.409866,1275700
2017-01-13,176.770004,178.080002,176.410004,177.889999,154.600540,952900
2017-01-17,177.000000,177.990005,174.970001,175.970001,152.931854,1202200
2017-01-18,175.169998,176.089996,174.300003,175.990005,153.612778,949900
2017-01-19,177.000000,178.360001,175.899994,177.809998,155.201340,1523600
2017-01-20,178.309998,178.919998,176.850006,178.279999,155.611542,1755400
2017-01-23,178.520004,179.190002,176.100006,177.229996,154.695053,1265500
2017-01-24,176.339996,178.419998,175.850006,177.250000,154.712509,1213800
2017-01-25,176.419998,177.199997,172.429993,175.320007,153.027908,2656100
2017-01-26,175.500000,177.619995,175.250000,177.300003,154.756195,1844700
2017-01-27,176.309998,187.369995,175.699997,185.139999,161.599304,4340200
2017-01-30,185.229996,186.309998,180.679993,182.470001,159.268784,2802800
2017-01-31,181.139999,181.470001,178.899994,181.080002,158.055511,2235800
2017-02-01,181.309998,182.440002,180.149994,181.029999,158.011887,1244300
2017-02-02,180.750000,181.309998,179.110001,180.360001,157.427094,1129600
2017-02-03,180.029999,183.250000,180.020004,183.119995,159.836151,1544700
2017-02-06,183.399994,184.610001,182.669998,183.039993,159.766342,1106800
2017-02-07,183.910004,185.000000,183.100006,183.210007,159.914734,1532600
2017-02-08,182.899994,183.940002,181.940002,183.139999,159.853577,1249600
2017-02-09,183.679993,183.839996,182.419998,182.589996,159.373550,1310500
2017-02-10,182.839996,184.660004,182.160004,184.399994,160.953384,1414100
