Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,70.570000,71.410004,70.489998,71.360001,67.698273,532300
2016-12-02,71.309998,71.449997,70.589996,70.980003,67.337776,441900
2016-12-05,71.620003,71.739998,71.050003,71.529999,67.859550,610600
2016-12-06,71.690002,72.400002,71.230003,72.290001,68.580544,603500
2016-12-07,72.559998,73.349998,72.139999,73.290001,69.529236,682100
2016-12-08,73.480003,74.330002,73.360001,74.000000,70.202812,502200
2016-12-09,73.870003,73.989998,73.279999,73.690002,69.908699,524300
2016-12-12,73.449997,73.800003,72.720001,73.029999,69.282600,574300
2016-12-13,73.120003,73.589996,72.690002,73.480003,69.709503,384600
2016-12-14,73.220001,74.239998,73.080002,73.449997,69.681015,687400
2016-12-15,73.540001,74.269997,73.459999,73.739998,69.956146,420100
2016-12-16,73.750000,73.820000,73.120003,73.349998,69.586159,1076700
2016-12-19,73.279999,74.410004,73.010002,74.339996,70.525345,837400
2016-12-20,74.660004,74.900002,74.349998,74.800003,70.961761,460800
2016-12-21,74.930000,75.070000,74.430000,74.830002,70.990227,314700
2016-12-22,74.699997,74.760002,74.190002,74.620003,70.790985,390700
2016-12-23,74.580002,74.650002,74.230003,74.269997,70.458939,242300
2016-12-27,74.269997,74.559998,74.209999,74.489998,70.667664,349200
2016-12-28,74.489998,74.779999,73.820000,73.879997,70.088966,417700
2016-12-29,73.910004,74.250000,73.410004,73.629997,69.851776,257600
2016-12-30,73.949997,73.949997,73.510002,73.760002,69.975105,289600
2017-01-03,74.629997,74.980003,73.370003,73.919998,70.126900,551600
2017-01-04,74.029999,74.760002,73.790001,74.650002,70.953827,462700
2017-01-05,74.629997,74.739998,73.680000,74.190002,70.516609,429900
2017-01-06,74.570000,74.900002,74.290001,74.589996,70.896782,329600
2017-01-09,73.860001,74.360001,73.820000,73.910004,70.250496,526200
2017-01-10,73.769997,74.430000,73.599998,74.010002,70.345520,529100
2017-01-11,73.430000,74.019997,73.339996,73.750000,70.098404,861100
2017-01-12,73.419998,73.599998,72.660004,73.400002,69.765724,478100
2017-01-13,73.800003,74.430000,73.680000,73.879997,70.221962,313700
2017-01-17,73.500000,73.510002,72.750000,73.000000,69.385521,380100
2017-01-18,73.480003,73.970001,72.879997,73.809998,70.155449,423900
2017-01-19,73.900002,73.900002,73.019997,73.620003,69.974831,356800
2017-01-20,73.739998,74.269997,73.500000,73.989998,70.326508,370000
2017-01-23,73.860001,74.059998,73.150002,73.589996,69.946312,311700
2017-01-24,73.970001,74.580002,73.910004,74.260002,70.583138,359500
2017-01-25,74.709999,74.959999,74.500000,74.690002,70.991859,441200
2017-01-26,74.510002,75.239998,74.510002,74.860001,71.153465,388700
2017-01-27,74.870003,75.000000,74.250000,74.550003,70.858795,269400
2017-01-30,74.150002,74.150002,73.559998,74.050003,70.383522,259000
2017-01-31,74.019997,74.410004,72.970001,73.540001,69.898788,500600
