Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,113.790001,114.199997,112.400002,113.370003,107.761871,2088700
2016-12-02,113.250000,113.830002,112.230003,113.260002,107.657310,840200
2016-12-05,113.919998,115.580002,111.480003,114.889999,109.206665,1041800
2016-12-06,114.790001,114.889999,113.699997,114.529999,108.864487,852400
2016-12-07,114.320000,116.639999,114.220001,116.610001,110.841591,942500
2016-12-08,116.430000,117.739998,116.129997,117.669998,111.849152,999500
2016-12-09,117.580002,117.639999,116.669998,116.980003,111.193283,1175000
2016-12-12,116.629997,116.959999,115.529999,116.029999,110.290291,973300
2016-12-13,116.180000,118.559998,116.050003,117.790001,111.963234,978600
2016-12-14,118.040001,118.660004,117.550003,117.669998,111.849152,996100
2016-12-15,117.709999,118.190002,117.139999,117.779999,111.953682,853000
2016-12-16,118.279999,118.279999,116.750000,117.309998,111.506973,1496000
2016-12-19,117.160004,118.610001,117.050003,118.150002,112.305428,651400
2016-12-20,118.629997,118.629997,117.669998,118.389999,112.533531,638400
2016-12-21,118.279999,118.370003,117.400002,117.690002,111.868164,567000
2016-12-22,117.279999,117.449997,116.260002,116.910004,111.126740,696600
2016-12-23,116.989998,117.449997,116.599998,116.919998,111.136246,417100
2016-12-27,117.360001,117.940002,116.620003,116.900002,111.117241,819600
2016-12-28,116.879997,116.889999,115.180000,115.459999,109.748466,801500
2016-12-29,115.410004,115.849998,114.809998,114.919998,109.235191,636700
2016-12-30,115.330002,115.760002,113.540001,114.610001,108.940529,1442800
2017-01-03,114.339996,115.300003,114.099998,114.750000,109.073616,1433800
2017-01-04,114.709999,115.629997,114.300003,114.980003,109.292229,871700
2017-01-05,114.779999,115.739998,114.500000,115.690002,109.967094,1051400
2017-01-06,115.599998,117.029999,115.199997,116.860001,111.406639,997200
2017-01-09,116.889999,116.980003,115.790001,116.510002,111.072960,706400
2017-01-10,116.440002,116.629997,115.260002,116.110001,110.691628,925500
2017-01-11,116.099998,116.690002,115.480003,116.379997,110.949043,837900
2017-01-12,116.239998,117.150002,115.370003,117.040001,111.578232,708000
2017-01-13,117.029999,117.269997,116.510002,117.099998,111.635429,616000
2017-01-17,116.959999,117.309998,115.589996,116.089996,110.672562,753700
2017-01-18,116.599998,116.860001,115.629997,115.790001,110.386566,843100
2017-01-19,116.070000,116.400002,115.070000,115.949997,110.539085,961800
2017-01-20,116.480003,117.209999,115.779999,117.099998,111.635429,1376800
2017-01-23,117.050003,117.449997,116.230003,117.099998,111.635429,1053100
2017-01-24,117.720001,118.849998,117.269997,118.750000,113.208450,964400
2017-01-25,119.639999,120.550003,119.080002,120.010002,114.409645,1442600
2017-01-26,120.000000,120.110001,118.379997,118.459999,112.931961,1041600
2017-01-27,119.120003,119.260002,118.209999,118.589996,113.055908,703000
