Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,80.650002,82.279999,80.650002,81.790001,68.133705,23823600
2016-12-02,81.800003,81.830002,80.900002,81.599998,67.975449,16931500
2016-12-05,82.300003,83.290001,82.290001,83.260002,69.358292,18529800
2016-12-06,83.599998,83.809998,82.430000,83.690002,69.716484,16130000
2016-12-07,83.550003,84.089996,82.849998,84.070000,70.033020,18996900
2016-12-08,84.230003,85.500000,83.940002,85.120003,70.907707,20844900
2016-12-09,85.019997,85.500000,84.139999,85.489998,71.215927,14567200
2016-12-12,85.360001,85.790001,84.290001,84.730003,70.582848,14511300
2016-12-13,84.980003,85.669998,83.820000,84.760002,70.607826,16669000
2016-12-14,83.879997,86.120003,83.760002,84.730003,70.582848,22622600
2016-12-15,85.400002,86.489998,84.900002,86.000000,71.640785,19438900
2016-12-16,86.290001,86.290001,84.889999,84.940002,70.757774,23008500
2016-12-19,84.800003,85.440002,84.190002,85.430000,71.165939,21685100
2016-12-20,85.790001,86.540001,85.550003,86.529999,72.082298,14587300
2016-12-21,86.430000,86.809998,86.029999,86.750000,72.265526,11400500
2016-12-22,86.440002,87.169998,86.209999,86.889999,72.382179,13924200
2016-12-23,87.000000,87.150002,86.400002,87.050003,72.515472,10759400
2016-12-27,87.050003,87.160004,86.750000,87.129997,72.582115,6946400
2016-12-28,87.160004,87.389999,86.349998,86.500000,72.057304,9455600
2016-12-29,86.580002,86.669998,85.040001,85.889999,71.549149,14689000
2016-12-30,86.099998,86.419998,85.660004,86.290001,71.882355,13617800
2017-01-03,87.339996,87.760002,85.980003,87.230003,72.665413,20550700
2017-01-04,86.959999,87.180000,86.400002,86.910004,72.799438,15266600
2017-01-05,86.809998,87.110001,85.260002,86.110001,72.129311,14300800
2017-01-06,86.389999,86.620003,85.940002,86.120003,72.137695,12893300
2017-01-09,85.730003,86.769997,85.519997,86.180000,72.187958,12806600
2017-01-10,86.070000,86.900002,85.720001,86.430000,72.397377,13989000
