Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,81.510002,81.779999,79.930000,80.489998,61.335152,4043300
2016-12-02,80.739998,81.519997,80.349998,80.910004,61.655193,2779300
2016-12-05,80.910004,81.150002,80.114998,80.279999,61.175110,4415500
2016-12-06,80.610001,80.877998,79.690002,79.959999,60.931263,3566800
2016-12-07,80.440002,83.209999,80.269997,82.949997,63.209705,4870200
2016-12-08,82.589996,82.790001,81.860001,82.309998,62.722038,2497500
2016-12-09,82.550003,83.792999,82.070000,83.779999,63.842194,2380900
2016-12-12,83.599998,84.830002,83.290001,84.199997,64.162231,2536300
2016-12-13,84.599998,85.599998,84.029999,84.940002,64.726143,3644100
2016-12-14,84.980003,85.400002,83.720001,84.360001,64.284157,3348600
2016-12-15,85.129997,86.059998,84.129997,85.370003,65.053818,4410100
2016-12-16,85.879997,86.559998,84.860001,86.459999,65.884407,6037700
2016-12-19,86.349998,86.889999,85.720001,86.599998,65.991096,3365400
2016-12-20,86.279999,86.599998,85.330002,85.980003,65.518646,2665500
2016-12-21,85.930000,86.989998,85.800003,86.610001,65.998711,2202000
2016-12-22,86.449997,87.290001,86.300003,87.279999,66.509277,1966300
2016-12-23,87.099998,87.620003,86.959999,87.570000,66.730270,2484700
2016-12-27,87.660004,88.080002,87.300003,87.580002,66.737885,1993200
2016-12-28,87.500000,87.769997,87.029999,87.309998,66.532135,1384800
2016-12-29,87.300003,88.150002,87.300003,87.930000,67.004585,1837800
2016-12-30,88.019997,88.160004,87.070000,87.320000,66.539749,2051400
2017-01-03,87.849998,87.970001,86.400002,87.529999,66.699783,3104600
2017-01-04,87.519997,87.970001,86.900002,87.029999,66.318756,2274900
2017-01-05,86.900002,87.300003,86.080002,86.529999,65.937744,3037400
2017-01-06,86.529999,86.629997,85.830002,86.309998,65.770103,2450200
2017-01-09,86.250000,86.474998,85.589996,86.070000,65.587227,2482400
2017-01-10,85.849998,86.300003,85.410004,85.910004,65.465294,2539900
2017-01-11,86.120003,87.040001,86.040001,86.760002,66.113022,2754500
2017-01-12,86.830002,87.769997,86.500000,87.419998,66.615952,2484700
2017-01-13,87.419998,87.430000,86.578003,87.029999,66.318756,1799100
2017-01-17,86.709999,87.974998,86.709999,87.919998,66.996964,2304800
2017-01-18,87.800003,88.589996,87.800003,88.349998,67.324631,2881800
2017-01-19,88.180000,88.430000,87.550003,87.849998,66.943619,1690600
2017-01-20,88.349998,89.000000,88.010002,88.949997,67.781815,2795500
2017-01-23,88.660004,88.949997,88.199997,88.800003,67.667526,2654100
2017-01-24,88.910004,89.190002,88.320000,88.690002,67.583717,2171100
2017-01-25,88.930000,89.269997,88.410004,88.839996,67.698021,2262100
2017-01-26,89.489998,89.900002,88.714996,89.410004,68.132393,3091900
2017-01-27,88.959999,89.769997,88.779999,89.430000,68.147614,1842800
2017-01-30,89.089996,89.500000,88.629997,89.080002,67.880913,2233600
2017-01-31,88.900002,89.559998,88.834999,89.290001,68.040962,2650500
2017-02-01,88.889999,89.334999,88.307999,88.410004,67.370369,1816800
2017-02-02,88.510002,89.099998,88.320000,88.610001,67.522766,1826700
2017-02-03,89.209999,89.349998,88.639999,89.269997,68.025711,2205100
