Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,120.580002,121.029999,119.199997,119.730003,106.175163,1840600
2016-12-02,119.610001,120.410004,119.089996,119.580002,106.042152,934600
2016-12-05,119.519997,120.029999,118.389999,119.760002,106.872086,1946900
2016-12-06,119.580002,120.180000,118.860001,119.019997,106.211693,996000
2016-12-07,119.720001,122.540001,119.400002,122.260002,109.103043,2813600
2016-12-08,122.639999,123.610001,121.940002,122.959999,109.727699,1267300
2016-12-09,123.029999,124.410004,121.430000,123.919998,110.584389,1376500
2016-12-12,124.320000,124.480003,123.050003,123.480003,110.191750,872800
2016-12-13,124.150002,124.160004,122.849998,123.730003,110.414848,830500
2016-12-14,123.660004,124.199997,122.349998,122.580002,109.388611,995200
2016-12-15,122.440002,124.089996,122.360001,123.430000,110.147125,908200
2016-12-16,123.959999,123.970001,122.120003,122.489998,109.308289,1735000
2016-12-19,122.320000,123.019997,122.139999,123.000000,109.763412,793500
2016-12-20,121.820000,121.940002,116.470001,118.389999,105.649506,4678100
2016-12-21,118.680000,118.779999,117.110001,118.529999,105.774437,2194300
2016-12-22,117.889999,117.889999,116.129997,117.190002,104.578621,1732100
2016-12-23,116.900002,117.629997,116.290001,117.589996,104.935585,936000
2016-12-27,117.959999,118.690002,117.680000,118.550003,105.792282,703600
2016-12-28,118.830002,119.430000,117.400002,117.480003,104.837433,747300
2016-12-29,117.639999,118.000000,117.250000,117.410004,104.774963,574800
2016-12-30,117.230003,117.400002,116.440002,117.190002,104.578621,984800
2017-01-03,117.970001,118.220001,116.120003,116.900002,104.319855,2364200
2017-01-04,117.370003,117.410004,116.449997,116.849998,104.275238,1564800
2017-01-05,116.239998,116.389999,115.000000,115.669998,103.222214,1756500
2017-01-06,115.720001,116.400002,115.139999,116.199997,103.695168,1907500
2017-01-09,116.470001,117.230003,115.970001,116.550003,104.007500,1143700
2017-01-10,116.790001,116.970001,115.690002,115.849998,103.382843,928300
2017-01-11,115.779999,117.000000,115.099998,116.919998,104.337685,995100
2017-01-12,117.000000,117.550003,116.529999,117.250000,104.632187,1102600
2017-01-13,117.230003,117.639999,116.730003,117.080002,104.480476,1088300
2017-01-17,116.620003,117.220001,116.360001,116.919998,104.337685,1424300
2017-01-18,116.709999,117.120003,116.470001,116.599998,104.052139,1386400
2017-01-19,116.510002,116.900002,115.820000,116.099998,103.605919,1965400
2017-01-20,116.180000,117.389999,115.879997,117.389999,104.757118,1295500
2017-01-23,117.209999,117.589996,116.489998,116.680000,104.123520,1750400
2017-01-24,117.199997,118.230003,117.000000,117.690002,105.024803,3539800
2017-01-25,117.889999,120.190002,117.279999,119.570000,106.702507,3917600
2017-01-26,116.540001,119.760002,115.709999,119.500000,106.640045,1980500
2017-01-27,120.449997,121.000000,119.500000,120.199997,107.264717,1739300
2017-01-30,119.360001,119.529999,117.860001,119.300003,106.461571,1649800
2017-01-31,118.760002,118.879997,118.059998,118.440002,105.694115,1356800
2017-02-01,117.320000,118.459999,117.139999,117.949997,105.256836,1324400
2017-02-02,116.879997,117.339996,116.540001,116.620003,104.069962,1705100
2017-02-03,116.910004,117.760002,116.809998,117.470001,104.828491,1120900
2017-02-06,117.059998,117.110001,116.070000,116.440002,103.909340,1448000
2017-02-07,115.860001,116.739998,115.540001,116.300003,103.784416,1582800
2017-02-08,115.959999,116.629997,115.529999,116.300003,103.784416,891600
2017-02-09,116.300003,116.739998,115.599998,115.760002,103.302528,1030400
2017-02-10,116.199997,116.580002,115.760002,116.230003,103.721947,1247500
2017-02-13,116.970001,117.949997,116.599998,117.440002,104.801727,1059300
2017-02-14,116.790001,117.589996,115.879997,117.320000,104.694641,767600
2017-02-15,116.919998,117.739998,116.709999,117.589996,104.935585,884700
2017-02-16,117.699997,118.230003,117.120003,117.500000,104.855270,1810700
2017-02-17,117.660004,117.910004,117.269997,117.419998,104.783875,906000
2017-02-21,117.300003,118.949997,117.040001,118.309998,105.578110,1600600
2017-02-22,117.820000,118.540001,117.550003,117.790001,105.114052,861700
2017-02-23,118.010002,118.470001,117.660004,118.059998,105.355003,853800
2017-02-24,117.110001,118.239998,116.830002,118.110001,105.399635,833400
2017-02-27,118.000000,119.709999,117.800003,118.519997,105.765533,1737000
2017-02-28,118.070000,119.120003,117.349998,118.709999,105.935066,1616100
2017-03-01,119.779999,120.620003,119.320000,120.360001,107.407501,1283100
2017-03-02,120.330002,120.620003,118.680000,118.779999,105.997528,1064600
2017-03-03,118.029999,118.059998,117.370003,117.599998,105.645370,1076300
2017-03-06,117.169998,118.320000,117.139999,117.730003,105.762146,1203300
2017-03-07,117.629997,119.040001,117.279999,118.790001,106.714409,1676500
2017-03-08,118.199997,119.610001,118.160004,118.570000,106.516777,2717000
2017-03-09,118.150002,118.699997,116.610001,116.989998,105.097374,1728800
2017-03-10,117.529999,117.680000,116.879997,116.949997,105.061447,1407300
2017-03-13,117.339996,117.339996,115.989998,116.720001,104.854828,1580600
2017-03-14,116.419998,117.190002,116.220001,116.650002,104.791962,1455800
2017-03-15,117.300003,118.949997,116.699997,118.620003,106.561691,1606300
2017-03-16,118.690002,119.190002,117.040001,117.120003,105.214172,1567400
2017-03-17,117.720001,118.480003,117.559998,118.320000,106.292191,2297100
2017-03-20,118.419998,118.709999,117.980003,118.239998,106.220299,643400
2017-03-21,118.279999,118.639999,116.599998,116.949997,105.061447,1047100
2017-03-22,116.750000,117.480003,116.279999,117.070000,105.169243,1103500
2017-03-23,116.949997,118.150002,116.470001,117.639999,105.681297,781100
2017-03-24,117.540001,118.120003,116.150002,116.410004,104.576347,850600
2017-03-27,115.800003,118.220001,115.669998,117.889999,105.905907,1309200
2017-03-28,118.559998,119.400002,117.739998,118.779999,106.705414,2120500
2017-03-29,118.690002,119.610001,118.290001,118.379997,106.346077,1306000
2017-03-30,118.120003,119.599998,118.040001,118.599998,106.543709,1732200
2017-03-31,118.230003,119.470001,118.089996,118.599998,106.543709,1469700
2017-04-03,118.750000,119.250000,117.110001,118.000000,106.004707,1825500
2017-04-04,118.459999,119.580002,118.070000,119.269997,107.145607,1006400
2017-04-05,120.000000,120.000000,117.900002,118.129997,106.121498,1440000
2017-04-06,118.379997,119.750000,118.199997,119.370003,107.235435,1238600
2017-04-07,119.150002,119.500000,118.459999,118.849998,106.768318,1076500
2017-04-10,118.669998,119.930000,118.000000,119.570000,107.415100,686500
2017-04-11,119.230003,119.540001,118.639999,119.180000,107.064758,1019400
2017-04-12,118.690002,119.279999,118.050003,118.230003,106.211342,904000
2017-04-13,118.010002,118.820000,117.400002,117.470001,105.528580,818600
2017-04-17,117.760002,118.839996,117.430000,118.050003,106.049622,660900
2017-04-18,118.050003,118.709999,117.610001,118.320000,106.292191,1498300
2017-04-19,119.199997,119.400002,117.849998,118.160004,106.148453,1120300
2017-04-20,118.730003,120.050003,118.309998,119.730003,107.558838,1034700
2017-04-21,119.709999,120.070000,119.070000,119.580002,107.424103,853900
2017-04-24,121.440002,123.120003,121.099998,123.010002,110.505440,1896700
2017-04-25,123.540001,124.750000,123.150002,124.699997,112.023613,1672900
2017-04-26,124.519997,125.910004,124.110001,125.110001,112.391945,1536000
2017-04-27,123.199997,125.970001,120.019997,125.480003,112.724350,1653700
2017-04-28,125.120003,125.669998,124.110001,124.980003,112.275146,1521100
2017-05-01,125.389999,125.500000,124.510002,124.959999,112.257202,939300
2017-05-02,125.440002,125.620003,124.510002,125.570000,112.805176,1291900
2017-05-03,125.379997,125.860001,125.040001,125.529999,112.769241,1000200
2017-05-04,125.790001,126.360001,125.430000,126.320000,113.478943,1459700
2017-05-05,126.620003,129.529999,126.330002,129.479996,116.317688,2035500
2017-05-08,128.389999,129.289993,128.320007,129.089996,115.967369,1005500
2017-05-09,129.110001,129.429993,128.520004,128.619995,115.545135,861300
2017-05-10,128.570007,129.210007,128.199997,129.169998,116.039230,830400
2017-05-11,128.990005,129.339996,128.000000,129.089996,115.967369,898500
2017-05-12,128.690002,129.960007,128.630005,129.720001,116.533295,1110800
2017-05-15,129.960007,130.440002,129.440002,130.169998,116.937569,2034700
2017-05-16,130.320007,131.740005,130.320007,131.029999,117.710136,1764800
2017-05-17,131.029999,131.029999,128.809998,128.820007,115.724808,1341600
2017-05-18,124.459999,128.600006,122.900002,128.369995,115.320549,2094600
2017-05-19,128.770004,129.589996,128.399994,129.229996,116.093140,1080900
2017-05-22,129.949997,130.199997,129.210007,129.820007,116.623154,689000
2017-05-23,130.149994,130.479996,129.330002,129.970001,116.757919,801100
2017-05-24,130.020004,133.679993,129.410004,132.270004,118.824112,2260700
2017-05-25,133.130005,133.199997,131.630005,131.929993,118.518639,1323900
2017-05-26,131.839996,132.220001,131.389999,131.970001,118.554596,957200
2017-05-30,131.639999,131.649994,130.990005,131.589996,118.213249,1721600
2017-05-31,131.679993,132.380005,131.259995,132.289993,118.842056,1020100
2017-06-01,132.500000,138.690002,132.089996,134.089996,120.459084,2287500
2017-06-02,134.570007,137.860001,134.160004,136.619995,122.731903,2348600
2017-06-05,136.000000,136.410004,133.220001,133.419998,120.552528,1766700
2017-06-06,132.800003,134.149994,132.429993,133.289993,120.435059,1082800
