Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,64.870003,66.610001,64.769997,66.150002,54.229504,1813600
2016-12-02,65.809998,66.000000,64.379997,65.120003,53.385117,1453300
2016-12-05,65.599998,66.129997,64.360001,65.010002,53.294937,2775100
2016-12-06,65.519997,66.389999,65.239998,66.150002,54.229504,1589200
2016-12-07,66.089996,67.190002,66.089996,67.150002,55.049301,1453300
2016-12-08,67.629997,69.300003,67.250000,68.480003,56.139637,1712800
2016-12-09,69.300003,69.489998,67.610001,68.129997,55.852699,3067500
2016-12-12,67.709999,67.959999,66.239998,67.180000,55.073902,2107900
2016-12-13,67.279999,67.660004,66.029999,67.040001,54.959126,1255100
2016-12-14,65.550003,67.550003,65.040001,66.230003,54.295101,2221900
2016-12-15,66.720001,68.239998,66.629997,67.470001,55.311634,1937300
2016-12-16,67.610001,68.080002,66.029999,66.389999,54.426254,3668800
2016-12-19,66.470001,67.110001,65.639999,66.669998,54.655785,1035700
2016-12-20,67.430000,68.300003,67.209999,67.720001,55.516598,1034800
2016-12-21,67.550003,68.250000,67.040001,67.779999,55.565769,1503100
2016-12-22,67.669998,67.669998,66.760002,67.430000,55.278843,690100
2016-12-23,67.349998,67.720001,66.800003,67.589996,55.410004,1047700
2016-12-27,67.720001,67.889999,67.440002,67.589996,55.410004,421400
2016-12-28,67.639999,67.820000,66.459999,66.599998,54.598419,623200
2016-12-29,66.760002,67.250000,65.699997,66.120003,54.204918,685400
2016-12-30,66.550003,66.720001,66.010002,66.269997,54.327869,854100
2017-01-03,66.910004,68.000000,65.870003,66.910004,54.852551,1578200
2017-01-04,67.379997,68.099998,67.000000,67.760002,55.549374,1394600
2017-01-05,67.410004,67.820000,65.809998,66.820000,54.778767,1462800
2017-01-06,66.830002,67.550003,66.470001,67.349998,55.453918,1096700
2017-01-09,66.070000,67.180000,66.070000,66.519997,54.770538,1116800
2017-01-10,66.800003,67.910004,66.150002,67.160004,55.297493,968200
2017-01-11,67.209999,67.690002,66.690002,67.629997,55.684464,1327800
2017-01-12,66.690002,67.330002,65.180000,66.540001,54.786999,948100
2017-01-13,67.290001,68.290001,66.959999,67.209999,55.338657,1133900
2017-01-17,66.400002,66.699997,65.290001,65.500000,53.930691,1455000
2017-01-18,65.910004,67.099998,65.279999,67.059998,55.215149,1708300
2017-01-19,67.300003,67.870003,66.080002,66.690002,54.910511,1704100
2017-01-20,67.129997,68.000000,66.279999,66.930000,55.108124,1248900
2017-01-23,66.669998,67.440002,66.029999,66.699997,54.918747,824900
2017-01-24,67.080002,68.519997,66.849998,67.800003,55.824455,1190100
2017-01-25,68.500000,69.239998,68.360001,69.010002,56.820728,1368300
2017-01-26,69.300003,70.370003,68.940002,69.650002,57.347683,1273400
2017-01-27,69.779999,69.849998,69.099998,69.300003,57.059498,1307400
2017-01-30,68.639999,68.790001,67.300003,68.489998,56.392559,1424100
2017-01-31,68.059998,68.980003,66.830002,67.510002,55.585670,1898400
2017-02-01,68.500000,69.330002,68.010002,68.919998,56.746624,2362200
2017-02-02,68.879997,69.559998,66.620003,68.529999,56.425518,2040100
2017-02-03,69.919998,70.349998,69.160004,69.500000,57.224171,2396000
2017-02-06,68.830002,70.000000,68.690002,69.089996,56.886589,1549300
2017-02-07,69.440002,69.989998,68.800003,69.339996,57.092430,1409400
2017-02-08,68.750000,68.790001,67.980003,68.360001,56.285538,1789800
2017-02-09,68.860001,70.199997,68.709999,70.050003,57.677029,1307800
2017-02-10,70.470001,70.870003,70.110001,70.370003,57.940498,1588400
2017-02-13,70.849998,71.610001,70.620003,71.080002,58.525108,1746200
2017-02-14,70.919998,72.519997,70.870003,72.129997,59.389626,2236600
2017-02-15,72.550003,73.139999,71.879997,73.080002,60.171818,1500000
2017-02-16,72.709999,73.309998,72.010002,72.660004,59.826023,2158200
2017-02-17,71.879997,72.279999,71.190002,71.690002,59.027348,1829700
2017-02-21,72.050003,72.690002,71.910004,72.269997,59.504898,1453000
2017-02-22,71.669998,72.110001,71.099998,71.699997,59.035591,1825300
2017-02-23,71.750000,72.040001,71.029999,71.690002,59.027348,1534100
2017-02-24,70.680000,70.919998,70.129997,70.820000,58.311008,1787000
2017-02-27,71.010002,71.019997,70.400002,70.839996,58.327492,2007300
2017-02-28,70.570000,70.800003,69.870003,70.160004,57.767612,2361900
2017-03-01,72.250000,72.930000,71.790001,72.330002,59.554306,2891100
2017-03-02,72.699997,72.720001,70.510002,70.620003,58.146358,2315600
2017-03-03,70.620003,71.500000,70.500000,71.150002,58.582737,1436600
2017-03-06,70.360001,70.669998,69.559998,69.750000,57.430012,2300300
2017-03-07,69.639999,69.870003,68.949997,69.250000,57.018322,2587600
2017-03-08,70.230003,70.709999,69.190002,69.250000,57.018322,1328400
