Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,63.509998,63.599998,62.400002,62.889999,41.210125,8675100
2016-12-02,62.959999,64.019997,62.959999,63.990002,41.930920,7635000
2016-12-05,63.919998,64.220001,63.419998,63.529999,41.629501,8448800
2016-12-06,63.400002,64.320000,63.250000,64.300003,42.134060,6749200
2016-12-07,64.489998,65.480003,64.309998,65.410004,42.861412,8147500
2016-12-08,65.029999,65.629997,64.680000,65.360001,42.828651,6695000
2016-12-09,65.480003,66.570000,65.410004,66.269997,43.424950,7464500
2016-12-12,66.300003,66.779999,66.199997,66.489998,43.569111,5590300
2016-12-13,66.500000,67.160004,66.459999,66.690002,43.700161,6968000
2016-12-14,66.860001,67.190002,65.830002,65.940002,43.208717,6359200
2016-12-15,65.690002,66.379997,65.550003,66.260002,43.418396,6465200
2016-12-16,66.250000,67.239998,65.820000,67.040001,43.929512,9694200
2016-12-19,67.370003,67.860001,67.209999,67.760002,44.401310,6987600
2016-12-20,67.150002,67.339996,66.330002,67.339996,44.526928,6976500
2016-12-21,67.470001,67.889999,67.239998,67.269997,44.480652,4643400
2016-12-22,67.099998,67.739998,67.080002,67.680000,44.751751,4858800
2016-12-23,67.739998,67.800003,67.510002,67.720001,44.778210,3226400
2016-12-27,67.800003,68.000000,67.610001,67.820000,44.844326,3346400
2016-12-28,67.570000,67.750000,67.389999,67.510002,44.639351,5333300
2016-12-29,67.269997,68.000000,67.120003,67.849998,44.864174,3662800
2016-12-30,67.970001,68.029999,67.500000,67.620003,44.712090,5369200
2017-01-03,67.739998,68.040001,67.250000,67.629997,44.718700,5799500
2017-01-04,68.169998,68.790001,67.760002,67.849998,44.864174,7553000
2017-01-05,67.970001,68.269997,67.489998,67.930000,44.917061,8173400
2017-01-06,67.940002,68.320000,67.779999,68.230003,45.115437,4925900
2017-01-09,68.230003,68.330002,67.860001,67.949997,44.930283,4815900
2017-01-10,68.139999,68.169998,67.550003,67.720001,44.778210,5226800
2017-01-11,67.779999,68.080002,67.540001,67.650002,44.731915,5618700
2017-01-12,67.470001,67.690002,67.279999,67.510002,44.639351,5007000
2017-01-13,67.480003,67.690002,67.279999,67.580002,44.685627,4073100
2017-01-17,67.820000,68.519997,67.540001,68.480003,45.280739,9012500
2017-01-18,68.559998,69.199997,68.550003,69.160004,45.730373,8063400
2017-01-19,69.139999,69.599998,69.010002,69.550003,45.988247,7853600
2017-01-20,69.660004,70.110001,69.650002,70.010002,46.292408,10188200
2017-01-23,70.220001,70.629997,70.000000,70.550003,46.649471,6508800
2017-01-24,70.550003,70.790001,70.400002,70.760002,46.788334,6510500
2017-01-25,71.040001,71.220001,70.769997,70.959999,46.920574,6112700
2017-01-26,71.070000,71.099998,70.639999,70.849998,46.847847,5969700
2017-01-27,70.849998,71.050003,70.599998,71.029999,46.966850,5915600
2017-01-30,70.980003,71.389999,70.820000,71.300003,47.145386,8574700
2017-01-31,71.330002,71.440002,70.970001,71.180000,47.066048,11463000
2017-02-01,69.959999,72.000000,68.800003,71.389999,47.204910,11416300
2017-02-02,71.660004,72.080002,71.330002,71.449997,47.244576,8108500
