Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,58.459999,59.613335,57.799999,59.573334,58.172653,1380900
2016-12-02,59.599998,60.133331,58.540001,58.759998,57.378433,1509750
2016-12-05,59.020000,59.706669,58.346668,58.639999,57.261253,851550
2016-12-06,58.826668,59.373333,58.346668,59.259998,57.866673,634950
2016-12-07,59.193333,60.973331,58.880001,60.713333,59.285828,908550
2016-12-08,60.919998,61.046665,60.166668,60.980000,59.546238,732450
2016-12-09,61.126667,61.126667,59.119999,59.419998,58.022919,1142400
2016-12-12,59.086666,60.033333,58.779999,59.133331,57.742989,723450
2016-12-13,59.266666,59.406666,57.946667,58.560001,57.183147,946050
2016-12-14,58.666668,59.126667,58.040001,58.240002,56.870659,613950
2016-12-15,58.566666,59.033333,57.759998,58.526669,57.150585,681600
2016-12-16,58.580002,58.720001,57.873333,58.353333,56.981327,1550400
2016-12-19,58.186668,58.779999,58.093334,58.439999,57.065960,521550
2016-12-20,58.393333,59.313332,58.393333,59.046665,57.658367,627150
2016-12-21,58.846668,58.846668,58.340000,58.386665,57.013878,425550
2016-12-22,58.299999,58.526669,57.340000,57.953335,56.590733,502050
2016-12-23,58.093334,58.299999,57.606667,57.919998,56.558170,340050
2016-12-27,58.133331,58.506668,57.180000,58.133331,56.766499,324000
2016-12-28,58.153332,58.200001,56.866669,57.119999,55.776989,495300
2016-12-29,57.040001,57.540001,57.040001,57.486668,56.135040,402450
2016-12-30,57.680000,57.973331,57.080002,57.193333,55.848598,525000
2017-01-03,57.773335,58.566666,57.240002,57.853333,56.493084,593550
2017-01-04,57.959999,58.666668,57.959999,58.093334,56.727440,893100
2017-01-05,57.926666,58.500000,57.200001,57.406666,56.056923,608100
2017-01-06,57.413334,58.186668,57.299999,57.400002,56.050415,819750
2017-01-09,57.360001,57.459999,56.580002,57.086666,55.744446,496350
2017-01-10,57.020000,58.139999,56.900002,57.793331,56.434494,643950
2017-01-11,58.053333,58.466667,57.740002,58.053333,56.688389,708450
2017-01-12,57.919998,58.040001,57.080002,58.000000,56.636299,401850
2017-01-13,58.200001,58.966667,58.080002,58.820000,57.437019,549900
2017-01-17,58.493332,58.613335,57.473331,57.686668,56.330341,412950
2017-01-18,57.919998,58.726665,57.373333,58.646667,57.267773,609750
2017-01-19,58.840000,59.080002,57.619999,57.913334,56.551674,513150
2017-01-20,57.980000,58.426666,57.833332,58.373333,57.000851,590850
2017-01-23,58.400002,58.453335,57.746666,58.180000,56.812080,311550
2017-01-24,58.386665,59.380001,58.106667,59.306667,57.912243,508050
2017-01-25,59.386665,61.180000,59.386665,60.886665,59.455093,866850
2017-01-26,60.566666,60.566666,59.639999,60.099998,58.686928,624750
2017-01-27,60.073334,60.433334,59.500000,60.360001,58.940823,387000
2017-01-30,60.053333,60.146667,58.826668,59.660000,58.257275,555600
2017-01-31,59.453335,59.493332,58.279999,58.853333,57.469570,924600
2017-02-01,59.259998,59.806667,57.793331,58.486668,57.111534,1233450
2017-02-02,57.439999,60.220001,55.326668,57.706669,56.349869,1740300
2017-02-03,58.273335,59.413334,57.833332,59.406666,58.009892,892350
2017-02-06,59.406666,60.013332,59.340000,59.633331,58.231236,937350
2017-02-07,59.779999,59.880001,58.286667,58.639999,57.261253,856050
2017-02-08,58.653332,59.500000,57.946667,59.279999,57.886208,865800
2017-02-09,59.506668,61.053333,59.326668,60.413334,58.992905,748050
2017-02-10,60.606667,61.666668,60.500000,61.533333,60.086563,646950
2017-02-13,61.906666,62.106667,61.426666,61.726665,60.275352,752700
2017-02-14,61.473331,61.740002,60.933334,61.233334,59.793617,575850
2017-02-15,61.153332,62.080002,61.153332,61.779999,60.327431,558750
2017-02-16,61.893333,62.326668,61.113335,61.619999,60.171188,519150
2017-02-17,61.473331,61.653332,61.000000,61.573334,60.125614,317700
2017-02-21,61.806667,61.906666,61.326668,61.486668,60.040989,439950
2017-02-22,61.599998,61.906666,60.793331,61.119999,59.682945,464250
2017-02-23,61.180000,61.266666,60.106667,60.473331,59.051487,471150
2017-02-24,60.213333,61.153332,60.060001,61.153332,59.715492,487950
2017-02-27,61.166668,61.653332,60.980000,61.633331,60.184216,725400
2017-02-28,61.693333,61.693333,61.126667,61.173332,59.735020,621900
2017-03-01,61.673332,63.313332,61.160000,63.040001,61.557808,741450
2017-03-02,63.066666,63.066666,61.139999,61.419998,60.039383,669450
2017-03-03,61.506668,61.506668,60.459999,60.873333,59.505009,914100
2017-03-06,60.506668,60.986668,60.273335,60.573334,59.211750,762600
2017-03-07,60.586666,60.639999,60.000000,60.033333,58.683876,425550
2017-03-08,60.279999,60.279999,59.646667,59.773335,58.429733,433050
2017-03-09,59.766666,60.000000,58.826668,59.060001,57.732445,432900
2017-03-10,59.500000,59.753334,58.966667,59.633331,58.292877,554250
2017-03-13,59.733334,59.993332,59.439999,59.540001,58.201649,360000
2017-03-14,59.160000,59.419998,58.180000,58.593334,57.276260,596100
2017-03-15,58.766666,59.086666,58.486668,58.900002,57.576035,974100
2017-03-16,59.206669,59.206669,58.360001,58.540001,57.224129,530250
2017-03-17,58.520000,58.639999,57.900002,58.233334,56.924351,1190100
2017-03-20,58.200001,58.313332,57.586666,57.660000,56.363903,641550
2017-03-21,57.826668,57.893333,56.013332,56.593334,55.321220,685200
2017-03-22,56.426666,56.959999,55.986668,56.653332,55.379868,941400
2017-03-23,56.733334,57.520000,56.393333,56.853333,55.575378,794400
2017-03-24,56.893333,57.233334,55.993332,56.486668,55.216953,477600
2017-03-27,55.880001,56.466667,55.286667,56.360001,55.093124,668850
2017-03-28,56.200001,57.820000,55.986668,57.340000,56.051094,791400
2017-03-29,57.299999,57.299999,56.160000,56.946667,55.666615,626250
2017-03-30,57.040001,57.400002,56.860001,57.259998,55.972897,421800
2017-03-31,57.106667,57.473331,56.959999,57.046665,55.764355,502800
2017-04-03,57.026669,57.406666,56.299999,56.320000,55.054024,714300
2017-04-04,56.213333,56.759998,56.160000,56.386665,55.119190,607800
2017-04-05,56.813332,57.040001,55.660000,55.779999,54.526161,1124850
2017-04-06,55.840000,56.126667,55.459999,55.959999,54.702110,621000
2017-04-07,55.633331,55.986668,55.353333,55.493332,54.245930,454500
2017-04-10,55.693333,56.753334,55.693333,56.313332,55.047501,746850
2017-04-11,56.166668,56.313332,55.166668,55.973331,54.715141,565650
2017-04-12,55.886665,55.886665,54.599998,54.706669,53.476963,546900
2017-04-13,54.453335,54.853333,53.706669,53.733334,52.525501,913650
2017-04-17,54.153332,54.866669,53.880001,54.806667,53.574711,673650
2017-04-18,54.553333,54.673332,54.200001,54.459999,53.235832,450750
2017-04-19,54.706669,55.073334,54.439999,54.540001,53.314030,440850
2017-04-20,54.853333,55.826668,54.700001,55.686668,54.434925,620700
2017-04-21,55.906666,56.373333,55.606667,56.220001,54.956272,677850
2017-04-24,57.273335,57.846668,57.020000,57.526669,56.233582,717150
2017-04-25,57.753334,58.026669,56.513332,57.373333,56.083679,567900
2017-04-26,57.453335,58.220001,57.073334,58.086666,56.780975,918750
2017-04-27,59.860001,60.726665,59.033333,60.146667,58.794670,1069500
2017-04-28,60.046665,60.500000,59.000000,59.013332,57.686810,659700
2017-05-01,59.386665,59.386665,58.700001,58.820000,57.497818,575400
2017-05-02,58.820000,59.073334,58.119999,58.893333,57.569511,402900
2017-05-03,58.766666,58.799999,58.033333,58.486668,57.171993,384900
2017-05-04,58.653332,59.053333,57.906666,58.160000,56.852669,447600
2017-05-05,58.380001,58.380001,57.380001,57.619999,56.324806,656250
2017-05-08,57.533333,57.613335,56.820000,56.933334,55.653572,556500
2017-05-09,57.086666,57.346668,56.613335,56.766666,55.490643,543000
2017-05-10,56.639999,56.786667,56.133331,56.586666,55.314690,526350
2017-05-11,56.373333,56.406666,55.586666,56.000000,54.741219,382050
2017-05-12,55.753334,56.226665,55.493332,55.993332,54.734703,757500
2017-05-15,56.066666,56.653332,56.066666,56.340000,55.073570,391800
2017-05-16,56.259998,56.913334,56.099998,56.866669,55.588406,444600
2017-05-17,56.099998,56.533333,55.000000,55.573334,54.324154,1432350
2017-05-18,55.326668,57.513332,55.166668,56.786667,55.510201,731400
2017-05-19,56.913334,57.880001,56.580002,57.326668,56.038067,1071900
2017-05-22,57.913334,58.080002,57.093334,57.860001,56.559406,583500
2017-05-23,58.180000,58.660000,57.520000,58.540001,57.224129,582600
2017-05-24,58.786667,59.639999,58.493332,59.306667,57.973553,754950
2017-05-25,59.493332,59.973331,59.233334,59.833332,58.488380,810300
2017-05-26,59.806667,59.873333,59.180000,59.373333,58.038727,417450
2017-05-30,59.333332,59.993332,58.980000,59.666668,58.325466,528150
2017-05-31,60.000000,60.000000,59.193333,59.546665,58.208168,683850
2017-06-01,59.686668,60.000000,59.279999,60.000000,58.651306,501600
2017-06-02,60.000000,61.000000,59.886665,60.186668,58.899212,476250
2017-06-05,60.733334,61.126667,60.206669,60.919998,59.616856,646350
2017-06-06,62.213333,62.213333,60.353333,61.279999,59.969158,667200
2017-06-07,61.353333,62.493332,61.313332,62.380001,61.045631,867600
2017-06-08,62.500000,63.226665,62.320000,62.500000,61.163071,612150
2017-06-09,62.720001,62.886665,61.740002,62.593334,61.254398,602850
2017-06-12,62.613335,63.740002,62.613335,63.273335,61.919857,698550
2017-06-13,63.419998,64.306664,63.313332,63.639999,62.278679,643650
2017-06-14,63.680000,63.680000,62.193333,62.786667,61.443592,613200
2017-06-15,62.186668,62.826668,61.826668,62.813332,61.469700,519750
2017-06-16,62.813332,63.193333,62.513332,63.133331,61.782848,1052250
2017-06-19,63.506668,63.560001,62.626667,63.273335,61.919857,562500
2017-06-20,63.139999,63.139999,61.646667,61.779999,60.458473,482550
2017-06-21,62.013332,62.253334,61.240002,61.433334,60.119217,463050
2017-06-22,61.433334,61.766666,60.413334,60.959999,59.656002,536400
2017-06-23,61.033333,61.646667,60.820000,61.426666,60.112698,1248600
2017-06-26,61.580002,61.919998,61.433334,61.646667,60.327984,367500
2017-06-27,61.566666,62.506668,61.426666,61.906666,60.582424,561300
2017-06-28,62.320000,63.926666,62.320000,63.826668,62.461361,834600
2017-06-29,64.013336,64.226669,62.773335,63.340000,61.985092,779400
2017-06-30,63.533333,63.779999,62.266666,63.493332,62.135147,589350
2017-07-03,63.786667,64.866669,63.639999,64.533333,63.152901,285300
2017-07-05,64.526665,65.480003,63.993332,65.073334,63.681339,694650
2017-07-06,64.866669,65.246666,64.339996,64.580002,63.198578,657000
2017-07-07,64.586670,65.379997,63.506668,65.226669,63.831413,711000
2017-07-10,65.346664,66.026665,65.293335,65.433334,64.033661,688650
2017-07-11,65.426666,65.580002,64.706665,65.053329,63.661770,476100
2017-07-12,65.339996,66.193336,65.339996,66.013336,64.601242,399150
2017-07-13,66.246666,66.320000,65.419998,66.160004,64.744759,467550
2017-07-14,66.266670,66.926666,66.186668,66.660004,65.234085,391350
2017-07-17,66.433334,67.073334,66.040001,66.246666,64.829597,393300
2017-07-18,66.093330,66.173332,65.486664,65.540001,64.138039,431250
2017-07-19,65.526665,65.653336,64.926666,65.419998,64.020599,295800
2017-07-20,65.593330,65.593330,64.720001,64.760002,63.374714,732300
2017-07-21,64.546669,65.139999,64.266670,64.966667,63.576954,703800
2017-07-24,65.026665,66.099998,64.913330,65.760002,64.353333,783150
2017-07-25,66.366669,67.139999,66.193336,66.613335,65.188408,1770750
2017-07-26,66.666664,67.086670,66.573334,66.933334,65.501579,1173600
2017-07-27,68.366669,69.006668,63.820000,64.266670,62.891945,1157850
2017-07-28,64.279999,65.599998,64.279999,65.366669,63.968433,768900
2017-07-31,65.113335,65.360001,63.393333,63.939999,62.572269,765900
2017-08-01,64.173332,64.173332,62.486668,62.959999,61.613228,665100
2017-08-02,62.980000,63.306667,62.306667,62.853333,61.508846,513900
2017-08-03,62.919998,63.433334,62.660000,63.060001,61.711082,397950
2017-08-04,63.333332,64.559998,63.200001,64.146667,62.774506,733200
2017-08-07,64.120003,64.393333,63.366669,64.266670,62.891945,438300
2017-08-08,64.313332,65.153336,63.900002,64.500000,63.120281,702450
2017-08-09,64.266670,64.773331,63.653332,64.706665,63.322533,360450
2017-08-10,64.300003,64.766670,63.433334,63.520000,62.161251,462450
2017-08-11,63.653332,64.473335,63.506668,64.186668,62.813648,567900
2017-08-14,64.646667,65.519997,64.500000,65.160004,63.766182,435150
2017-08-15,65.173332,65.753334,65.026665,65.066666,63.674839,435150
2017-08-16,65.300003,66.233330,64.540001,64.586670,63.205101,878850
2017-08-17,64.333336,64.513336,63.573334,63.619999,62.259102,546150
2017-08-18,63.606667,63.693333,63.146667,63.193333,61.841560,484950
2017-08-21,63.126667,63.373333,62.206669,62.546665,61.208736,864150
2017-08-22,62.613335,63.513332,62.406666,63.373333,62.017715,602100
2017-08-23,63.119999,63.139999,62.493332,62.506668,61.169590,485400
2017-08-24,62.826668,62.993332,62.193333,62.393333,61.058678,493950
2017-08-25,62.733334,64.053329,62.646667,63.613335,62.252579,506550
2017-08-28,63.919998,64.873337,63.599998,64.813332,63.426914,738750
2017-08-29,64.599998,66.333336,64.220001,66.099998,64.686058,881100
2017-08-30,66.226669,67.313332,66.086670,66.760002,65.331924,1041750
2017-08-31,66.986664,66.986664,65.933334,66.599998,65.175362,753300
2017-09-01,66.773331,67.160004,66.273331,66.800003,65.436577,541350
2017-09-05,66.453331,67.040001,66.213333,66.826668,65.462708,660750
2017-09-06,66.966667,67.400002,66.300003,66.739998,65.377815,567000
2017-09-07,66.893333,67.273331,66.493332,66.813332,65.449638,432150
2017-09-08,66.813332,68.239998,66.260002,67.953331,66.566376,648900
2017-09-11,68.006668,68.326668,67.660004,67.980003,66.592522,536850
2017-09-12,68.000000,68.286667,67.593330,67.879997,66.494537,627900
2017-09-13,67.913330,67.913330,66.773331,67.080002,65.710869,535800
2017-09-14,67.273331,67.273331,66.459999,66.653336,65.292900,609750
2017-09-15,66.333336,67.153336,66.333336,66.886665,65.521492,1059300
2017-09-18,67.126663,67.879997,67.080002,67.653336,66.272507,621150
2017-09-19,67.986664,68.606667,67.693336,68.300003,66.905975,798750
2017-09-20,68.433334,70.180000,68.433334,69.273331,67.859436,904650
2017-09-21,69.180000,69.806664,69.006668,69.593330,68.172897,579900
2017-09-22,69.639999,70.573334,69.506668,70.533333,69.093712,630750
2017-09-25,70.786667,71.300003,70.426666,71.193336,69.740257,733050
2017-09-26,71.193336,71.866669,70.993332,71.699997,70.236557,508650
2017-09-27,72.000000,72.873337,71.666664,72.559998,71.079018,729450
2017-09-28,72.446671,72.746666,72.166664,72.500000,71.020248,570900
2017-09-29,72.613335,73.633331,72.613335,73.406670,71.908417,874050
2017-10-02,73.406670,73.633331,72.573334,73.113335,71.621063,677550
2017-10-03,73.286667,73.559998,72.400002,72.660004,71.176987,626550
2017-10-04,72.886665,72.886665,71.966667,72.026665,70.556572,814950
2017-10-05,71.713333,72.026665,70.966667,71.993332,70.523903,891900
2017-10-06,72.059998,72.760002,72.059998,72.519997,71.039833,656250
2017-10-09,73.033333,73.199997,72.000000,72.533333,71.052902,614850
2017-10-10,71.906670,72.366669,71.666664,72.246666,70.772072,1173900
2017-10-11,72.253334,72.720001,72.133331,72.273331,70.798210,674100
2017-10-12,72.853333,73.186668,72.220001,72.940002,71.451286,1018050
2017-10-13,72.933334,73.040001,71.493332,71.653336,70.190865,842400
2017-10-16,71.726669,72.246666,70.800003,72.166664,70.693703,925650
2017-10-17,71.919998,72.326668,71.786667,71.966667,70.497787,647400
2017-10-18,72.260002,73.260002,72.206665,73.099998,71.607994,628500
2017-10-19,72.646667,73.873337,72.113335,73.753334,72.248001,620100
2017-10-20,74.126663,75.000000,73.940002,75.000000,73.469231,592200
2017-10-23,75.306664,75.306664,74.406670,74.533333,73.012077,609600
2017-10-24,74.953331,75.426666,74.733330,74.873337,73.345139,625650
2017-10-25,74.900002,75.573334,73.126663,74.019997,72.509216,1245600
2017-10-26,74.666664,78.606667,74.273331,78.153336,76.558189,1642950
2017-10-27,78.660004,82.753334,78.046669,82.559998,80.874916,1600950
2017-10-30,81.919998,82.500000,80.260002,80.406670,78.765526,1065450
2017-10-31,80.620003,81.066666,80.153336,80.753334,79.105141,1091400
2017-11-01,81.320000,81.726669,79.633331,79.980003,78.347603,869400
2017-11-02,79.666664,81.313332,78.773331,80.953331,79.301056,766500
2017-11-03,80.906670,81.213333,80.286667,80.686668,79.039825,481200
