Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,40.110001,40.180000,38.459999,38.700001,34.785961,22740200
2016-12-02,38.459999,38.830002,37.639999,38.500000,34.606182,19120300
2016-12-05,38.599998,39.110001,38.540001,38.970001,35.028641,13681500
2016-12-06,39.009998,39.480000,38.880001,39.470001,35.478077,13524700
2016-12-07,39.500000,40.369999,39.490002,40.320000,36.242119,15170600
2016-12-08,40.320000,40.490002,40.080002,40.349998,36.269081,10109700
2016-12-09,40.410000,40.770000,40.279999,40.520000,36.421898,11219100
2016-12-12,40.349998,40.700001,40.349998,40.509998,36.412903,10891400
2016-12-13,40.470001,41.000000,40.470001,40.759998,36.637615,12493100
2016-12-14,40.869999,41.090000,40.619999,40.880001,36.745472,25102400
2016-12-15,40.950001,41.139999,40.740002,40.860001,36.727512,17783500
2016-12-16,40.220001,40.220001,38.759998,39.099998,35.145496,46224200
2016-12-19,39.029999,39.189999,38.590000,38.900002,34.965733,15135100
2016-12-20,38.959999,39.110001,38.799999,39.000000,35.055607,14006400
2016-12-21,39.060001,39.060001,38.610001,38.830002,34.902813,11966400
2016-12-22,38.930000,39.240002,38.599998,38.959999,35.019661,11226300
2016-12-23,38.790001,39.020000,38.630001,38.779999,34.857861,8143600
2016-12-27,38.770000,39.040001,38.759998,38.820000,34.893826,5073700
2016-12-28,38.869999,38.919998,38.630001,38.680000,34.767982,8264100
2016-12-29,38.610001,38.840000,38.610001,38.689999,34.776955,5711800
2016-12-30,38.750000,38.860001,38.340000,38.450001,34.561245,10820200
2017-01-03,38.450001,38.689999,38.299999,38.549999,34.786839,11051300
2017-01-04,38.549999,38.919998,38.549999,38.740002,34.958290,9545500
2017-01-05,38.669998,38.950001,38.410000,38.639999,34.868061,12064700
2017-01-06,38.750000,38.750000,38.380001,38.450001,34.696598,14829700
2017-01-09,38.529999,39.450001,38.470001,39.029999,35.219978,15587900
2017-01-10,39.000000,39.070000,38.660000,38.660000,34.886097,11316600
2017-01-11,38.639999,39.130001,38.639999,39.110001,35.292171,10403100
2017-01-12,39.029999,39.320000,38.590000,39.200001,35.373390,11526900
2017-01-13,39.160000,39.330002,39.029999,39.259998,35.427525,9455300
2017-01-17,39.070000,39.279999,38.889999,39.099998,35.283138,11081400
2017-01-18,39.279999,39.340000,39.029999,39.189999,35.364361,10394000
2017-01-19,39.119999,39.380001,39.099998,39.209999,35.382401,12232400
2017-01-20,39.459999,40.029999,39.450001,39.869999,35.977985,25439100
2017-01-23,39.759998,40.090000,39.430000,39.680000,35.806519,13251200
2017-01-24,39.849998,40.200001,39.750000,40.099998,36.185532,12216500
2017-01-25,40.320000,40.380001,39.950001,40.150002,36.230652,13164800
2017-01-26,40.209999,40.250000,39.950001,40.130001,36.212608,10556500
2017-01-27,40.200001,40.389999,40.130001,40.230000,36.302845,9232700
2017-01-30,40.110001,40.250000,39.810001,40.230000,36.302845,10589600
2017-01-31,40.209999,40.250000,39.669998,40.110001,36.194557,10766700
2017-02-01,40.220001,40.220001,39.709999,39.840000,35.950909,11837000
2017-02-02,39.770000,40.000000,39.680000,39.980000,36.077240,10120300
2017-02-03,40.070000,40.430000,39.950001,40.430000,36.483315,12941200
2017-02-06,40.439999,40.439999,40.080002,40.099998,36.185532,7871300
2017-02-07,40.160000,40.299999,40.040001,40.070000,36.158466,8848700
2017-02-08,40.060001,40.349998,40.009998,40.020000,36.113350,8883300
2017-02-09,40.020000,40.450001,40.020000,40.230000,36.302845,10977100
2017-02-10,40.330002,40.919998,40.209999,40.790001,36.808182,13168700
2017-02-13,40.889999,41.189999,40.799999,41.090000,37.078899,12779800
2017-02-14,40.919998,41.169998,40.750000,41.099998,37.087906,9623000
2017-02-15,40.959999,41.480000,40.889999,41.410000,37.367645,9243600
2017-02-16,41.459999,41.740002,41.369999,41.590000,37.530083,10132700
2017-02-17,41.540001,42.060001,41.500000,42.060001,37.954201,18545300
2017-02-21,41.990002,42.380001,41.930000,42.270000,38.143696,12394700
2017-02-22,42.259998,42.520000,42.130001,42.509998,38.360275,11602800
2017-02-23,42.560001,42.990002,42.500000,42.959999,38.766350,15484000
2017-02-24,42.740002,43.189999,42.680000,43.169998,38.955856,11426700
2017-02-27,43.259998,43.259998,42.520000,42.700001,38.531719,13876500
2017-02-28,42.619999,42.750000,42.419998,42.590000,38.432472,14450300
2017-03-01,42.750000,43.000000,42.689999,42.919998,38.730247,11402200
2017-03-02,42.830002,42.930000,42.630001,42.889999,38.703182,9431600
2017-03-03,42.770000,42.889999,42.590000,42.689999,38.522701,8917100
2017-03-06,42.459999,42.740002,42.299999,42.570000,38.414410,9196000
2017-03-07,42.580002,42.750000,42.520000,42.599998,38.441479,9492900
2017-03-08,42.680000,42.790001,42.509998,42.610001,38.450508,9217100
2017-03-09,42.630001,42.630001,42.250000,42.439999,38.297104,10308400
2017-03-10,42.619999,42.689999,42.349998,42.680000,38.513683,12244500
2017-03-13,42.750000,42.779999,42.529999,42.580002,38.423443,12440800
2017-03-14,42.580002,42.840000,42.410000,42.790001,38.612942,10291000
2017-03-15,42.900002,43.200001,42.639999,43.049999,38.847561,18393200
2017-03-16,46.389999,46.990002,45.650002,45.730000,41.265938,67535400
2017-03-17,45.250000,45.980000,45.110001,45.660000,41.202774,31688700
2017-03-20,45.669998,45.950001,45.160000,45.230000,40.814754,21452600
2017-03-21,45.310001,45.400002,44.709999,44.840000,40.462826,21974500
2017-03-22,45.130001,45.450001,44.630001,44.790001,40.417706,14339700
2017-03-23,44.680000,45.060001,44.669998,44.950001,40.562088,16190500
2017-03-24,44.919998,45.090000,44.580002,44.650002,40.291374,13110200
2017-03-27,44.509998,44.930000,44.360001,44.840000,40.462826,8933100
2017-03-28,44.830002,45.029999,44.660000,44.689999,40.327461,14008800
2017-03-29,44.520000,44.730000,44.470001,44.520000,40.174061,10636200
2017-03-30,44.450001,44.750000,44.369999,44.680000,40.318447,7792500
2017-03-31,44.500000,44.849998,44.459999,44.610001,40.255272,10652800
2017-04-03,44.680000,45.049999,44.400002,44.610001,40.255272,16044300
2017-04-04,44.610001,44.740002,44.380001,44.590000,40.237228,9161300
2017-04-05,44.740002,44.970001,44.410000,44.490002,40.146984,9445100
2017-04-06,44.529999,44.529999,44.139999,44.180000,39.867249,11557800
2017-04-07,44.090000,44.389999,43.990002,44.290001,39.966507,13446600
2017-04-10,44.209999,44.450001,43.959999,44.000000,39.875885,11668600
2017-04-11,43.889999,44.450001,43.759998,44.169998,40.029953,15422400
2017-04-12,44.330002,44.410000,44.029999,44.180000,40.039009,8457000
2017-04-13,44.189999,44.450001,43.980000,44.000000,39.875885,11838300
2017-04-17,44.119999,44.360001,44.000000,44.290001,40.138710,10999300
2017-04-18,44.209999,44.580002,44.139999,44.520000,40.347145,10446700
2017-04-19,44.439999,44.540001,44.080002,44.189999,40.048069,10712000
2017-04-20,44.259998,44.630001,44.169998,44.529999,40.356205,10880900
