Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,58.950001,59.240002,58.520000,58.680000,48.777397,2409100
2016-12-02,58.590000,58.990002,58.230000,58.340000,48.494770,1944700
2016-12-05,58.650002,58.889999,58.310001,58.830002,48.902084,2711900
2016-12-06,58.980000,59.020000,58.299999,58.669998,48.769085,1342600
2016-12-07,58.700001,60.450001,58.580002,60.240002,50.074150,1665800
2016-12-08,60.290001,60.450001,59.840000,60.270000,50.099079,1370200
2016-12-09,60.020000,60.470001,59.799999,60.160000,50.007637,1381300
2016-12-12,59.970001,60.330002,59.860001,60.189999,50.032570,1085300
2016-12-13,60.139999,60.660000,60.029999,60.250000,50.082455,1715700
2016-12-14,60.380001,61.200001,60.250000,60.480000,50.273632,2762200
2016-12-15,60.430000,61.029999,60.180000,60.740002,50.489765,1704600
2016-12-16,61.759998,61.970001,61.009998,61.240002,50.905384,3470900
2016-12-19,61.529999,62.040001,61.290001,61.549999,51.163071,1815700
2016-12-20,61.889999,62.139999,61.490002,61.930000,51.478947,2487800
2016-12-21,61.709999,61.860001,60.259998,61.389999,51.030064,3353000
2016-12-22,61.349998,61.549999,60.849998,61.500000,51.121510,1310900
2016-12-23,61.520000,61.880001,61.430000,61.730000,51.312695,993800
2016-12-27,61.830002,62.180000,61.610001,61.650002,51.246197,944700
2016-12-28,61.840000,61.930000,61.290001,61.340000,50.988503,1286000
2016-12-29,61.470001,61.950001,61.240002,61.400002,51.038383,989000
2016-12-30,61.259998,61.259998,60.439999,60.880001,50.606136,1574600
2017-01-03,61.150002,61.750000,60.610001,61.060001,50.755760,1922300
2017-01-04,61.310001,61.590000,61.040001,61.290001,50.946949,1610100
2017-01-05,61.119999,61.480000,60.619999,60.849998,50.581192,1646500
2017-01-06,60.849998,61.549999,60.549999,61.270000,50.930325,1271400
2017-01-09,61.230000,61.400002,60.900002,61.020000,50.722507,1429800
2017-01-10,61.080002,61.290001,60.689999,60.810001,50.547955,1392800
2017-01-11,61.110001,61.380001,60.799999,61.150002,50.830574,1424600
2017-01-12,60.970001,61.410000,60.709999,61.340000,50.988503,1070200
2017-01-13,61.320000,61.689999,61.259998,61.470001,51.096573,938500
2017-01-17,61.330002,61.470001,60.639999,60.849998,50.581192,1356700
2017-01-18,61.000000,61.139999,60.720001,61.040001,50.739128,1145800
2017-01-19,61.040001,61.110001,60.790001,60.900002,50.622749,1173400
2017-01-20,61.099998,61.700001,60.950001,61.470001,51.096573,1517900
2017-01-23,61.360001,61.490002,60.980000,61.110001,50.797321,1716900
2017-01-24,61.180000,61.959999,61.180000,61.869999,51.429070,1472000
2017-01-25,62.009998,62.169998,61.400002,61.619999,51.221260,1529300
2017-01-26,61.540001,61.610001,61.250000,61.450001,51.079948,1053600
2017-01-27,61.549999,61.560001,60.980000,61.169998,50.847195,1009800
2017-01-30,60.730000,60.990002,60.419998,60.810001,50.930958,1272900
2017-01-31,60.450001,60.759998,60.090000,60.290001,50.495430,1684100
2017-02-01,59.500000,59.500000,58.430000,58.520000,49.012978,4522100
2017-02-02,58.410000,58.810001,58.119999,58.549999,49.038101,2649500
2017-02-03,58.900002,59.169998,57.709999,57.970001,48.552334,4003300
2017-02-06,58.020000,58.400002,57.349998,57.619999,48.259186,4610200
2017-02-07,57.650002,57.990002,57.070000,57.570000,48.217312,2810300
