Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,41.020000,41.389999,40.840000,41.040001,32.743420,3152400
2016-12-02,41.369999,41.820000,41.099998,41.250000,32.910957,2265800
2016-12-05,41.160000,41.759998,40.720001,41.740002,33.301907,3526800
2016-12-06,41.919998,42.000000,41.299999,41.380001,33.014690,3393200
2016-12-07,41.139999,41.700001,41.139999,41.669998,33.578770,2760700
2016-12-08,41.330002,42.310001,41.139999,42.250000,34.046139,2853200
2016-12-09,42.270000,42.750000,42.259998,42.700001,34.408760,2219400
2016-12-12,42.580002,43.029999,42.540001,42.970001,34.626335,2385000
2016-12-13,43.029999,43.430000,42.919998,43.340000,34.924488,2373200
2016-12-14,43.549999,43.970001,42.619999,42.709999,34.416813,3195400
2016-12-15,42.509998,43.000000,42.389999,42.950001,34.610218,3986200
2016-12-16,43.080002,44.290001,43.080002,43.990002,35.448277,5959900
2016-12-19,44.200001,44.200001,43.380001,43.669998,35.190407,2931600
2016-12-20,43.939999,44.060001,43.639999,43.770000,35.270988,2140700
2016-12-21,43.799999,44.060001,43.590000,43.590000,35.125942,1309400
2016-12-22,43.599998,43.770000,43.330002,43.680000,35.198463,1412800
2016-12-23,43.720001,43.770000,43.520000,43.680000,35.198463,781500
2016-12-27,43.680000,43.919998,43.509998,43.799999,35.295174,1745700
2016-12-28,43.779999,43.910000,43.320000,43.410000,34.980896,2060800
2016-12-29,43.570000,44.209999,43.480000,44.049999,35.496628,2126800
2016-12-30,44.119999,44.189999,43.730000,43.880001,35.359634,2000200
2017-01-03,44.009998,44.009998,43.160000,43.389999,34.964771,2976300
2017-01-04,43.529999,43.970001,43.509998,43.689999,35.206524,2155600
2017-01-05,43.639999,43.840000,43.299999,43.759998,35.262932,2208900
2017-01-06,43.610001,44.240002,43.480000,44.200001,35.617504,2324100
2017-01-09,44.209999,44.310001,43.459999,43.520000,35.069538,2049400
2017-01-10,43.360001,43.599998,43.200001,43.459999,35.021183,2307700
2017-01-11,43.529999,44.220001,43.529999,44.040001,35.488567,2993100
2017-01-12,44.000000,44.139999,43.790001,44.070000,35.512737,1973800
2017-01-13,43.950001,44.099998,43.759998,44.029999,35.480515,1579100
2017-01-17,44.220001,44.700001,44.119999,44.410000,35.786720,1599000
2017-01-18,44.250000,44.450001,44.099998,44.180000,35.601387,1126700
2017-01-19,43.959999,44.160000,43.540001,43.680000,35.198463,1538300
2017-01-20,43.810001,44.000000,43.509998,43.740002,35.246822,1497900
2017-01-23,43.770000,43.919998,43.200001,43.270000,34.868080,1488400
2017-01-24,43.270000,43.709999,43.240002,43.450001,35.013130,1810300
2017-01-25,43.330002,43.500000,43.259998,43.389999,34.964771,1570600
2017-01-26,43.389999,43.680000,43.139999,43.330002,34.916435,1443700
2017-01-27,43.410000,43.490002,42.889999,43.060001,34.698853,1679100
2017-01-30,43.139999,43.299999,42.860001,43.209999,34.819725,1869300
2017-01-31,43.320000,44.330002,43.279999,44.250000,35.657787,3496600
2017-02-01,44.029999,44.029999,43.240002,43.369999,34.948662,3222700
