Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,50.689999,50.759998,49.779999,49.950001,42.030285,2336000
2016-12-02,50.160000,50.849998,49.580002,49.950001,42.030285,3304000
2016-12-05,50.230000,50.630001,49.939999,50.599998,42.577221,2579300
2016-12-06,50.849998,51.150002,50.419998,50.700001,42.661366,1931900
2016-12-07,50.860001,52.540001,50.860001,52.520000,44.192795,3533100
2016-12-08,52.150002,52.750000,51.970001,52.480000,44.159153,2255400
2016-12-09,52.650002,53.279999,52.340000,52.389999,44.083420,1778300
2016-12-12,52.430000,53.009998,52.200001,52.950001,44.554626,2229300
2016-12-13,53.400002,53.509998,52.509998,53.200001,44.764984,2382600
2016-12-14,53.230000,53.380001,51.650002,51.759998,43.553303,2838200
2016-12-15,51.240002,52.099998,51.000000,51.320000,43.536327,2908200
2016-12-16,51.970001,52.810001,51.849998,52.480000,44.520393,4241300
2016-12-19,52.790001,53.230000,52.419998,52.490002,44.528885,2344600
2016-12-20,52.500000,53.080002,52.080002,52.450001,44.494953,2639900
2016-12-21,52.520000,53.040001,51.889999,51.900002,44.028362,2550800
2016-12-22,51.799999,52.189999,51.259998,51.900002,44.028362,2081100
2016-12-23,52.009998,52.230000,51.500000,51.750000,43.901115,1233100
2016-12-27,51.919998,52.220001,51.610001,52.040001,44.147129,1757600
2016-12-28,52.040001,52.220001,51.340000,51.549999,43.731449,1129200
2016-12-29,51.689999,52.369999,51.430000,52.270000,44.342247,1286000
2016-12-30,52.299999,53.029999,51.509998,52.790001,44.783394,1995300
2017-01-03,53.270000,53.490002,52.290001,52.799999,44.791859,1738900
2017-01-04,53.060001,53.860001,52.820000,53.740002,45.589302,1429600
2017-01-05,53.470001,53.810001,53.150002,53.759998,45.606258,1817900
2017-01-06,53.759998,54.240002,53.529999,54.110001,45.903183,1573100
2017-01-09,54.209999,54.250000,53.599998,53.700001,45.555367,1912200
2017-01-10,53.490002,53.720001,52.450001,52.470001,44.511913,2344200
2017-01-11,52.400002,52.750000,52.180000,52.250000,44.325279,3205800
2017-01-12,52.259998,52.779999,51.919998,52.689999,44.698555,3314000
2017-01-13,52.790001,53.060001,52.279999,52.299999,44.367699,1816800
2017-01-17,52.340000,52.830002,52.290001,52.529999,44.562805,2469300
2017-01-18,52.540001,53.259998,52.540001,52.849998,44.834274,3233400
2017-01-19,52.639999,53.009998,52.500000,52.759998,44.757923,2241500
2017-01-20,52.830002,53.020000,52.439999,52.570000,44.596748,2725700
2017-01-23,52.500000,52.849998,52.340000,52.830002,44.817314,3834700
2017-01-24,53.240002,53.730000,51.400002,51.830002,43.968994,4960100
2017-01-25,51.889999,52.049999,51.360001,51.790001,43.935062,2716400
2017-01-26,52.060001,52.240002,50.900002,50.939999,43.213966,3180200
2017-01-27,50.880001,51.139999,49.189999,49.250000,41.780289,4714200
2017-01-30,49.330002,49.380001,48.630001,48.740002,41.347641,3636100
2017-01-31,48.790001,49.310001,48.619999,48.849998,41.440948,4725200
2017-02-01,48.840000,49.049999,48.330002,48.439999,41.093136,3907800
2017-02-02,48.459999,49.320000,48.450001,49.060001,41.619106,3003600
2017-02-03,49.540001,50.310001,49.290001,50.209999,42.594696,4524400
2017-02-06,50.049999,50.320000,49.279999,49.389999,41.899059,2915500
2017-02-07,49.480000,50.060001,48.689999,48.730000,41.339161,2627100
2017-02-08,48.840000,49.459999,48.689999,49.369999,41.882092,2593000
2017-02-09,49.450001,49.610001,49.189999,49.419998,41.924496,1825100
2017-02-10,49.360001,50.119999,49.360001,50.110001,42.509853,1935300
2017-02-13,50.259998,50.419998,49.930000,49.970001,42.391087,2183800
2017-02-14,49.790001,49.980000,49.130001,49.919998,42.348663,2778100
2017-02-15,50.150002,50.230000,48.950001,49.410000,41.916023,2537600
2017-02-16,49.560001,50.439999,49.450001,50.119999,42.518341,2586200
2017-02-17,50.139999,50.299999,49.430000,50.189999,42.577721,3262900
2017-02-21,50.189999,50.930000,50.169998,50.750000,43.052788,2767000
2017-02-22,50.619999,50.919998,50.240002,50.340000,42.704964,1922900
2017-02-23,50.650002,50.709999,49.950001,50.560001,42.891613,2530500
2017-02-24,50.439999,51.160000,50.330002,51.080002,43.332729,2586000
2017-02-27,51.169998,51.639999,50.900002,51.610001,43.782349,2032700
2017-02-28,51.540001,51.660000,50.680000,51.049999,43.307281,3511600
2017-03-01,51.099998,51.279999,50.669998,50.990002,43.256386,2490800
2017-03-02,50.990002,51.090000,50.560001,51.049999,43.307281,2197600
2017-03-03,51.009998,51.160000,50.509998,51.139999,43.383629,2283000
2017-03-06,50.880001,50.980000,50.250000,50.590000,42.917057,2275900
2017-03-07,50.599998,50.709999,50.160000,50.549999,42.883110,1689600
2017-03-08,50.330002,50.410000,49.869999,49.930000,42.357155,2964300
2017-03-09,50.029999,50.279999,49.189999,49.299999,41.822701,1964600
2017-03-10,49.299999,50.080002,48.959999,49.400002,41.907539,2367300
2017-03-13,49.470001,49.580002,49.009998,49.290001,42.190006,2916600
2017-03-14,49.189999,49.480000,48.799999,49.360001,42.249920,2463800
2017-03-15,49.549999,50.900002,49.439999,50.700001,43.396900,3437700
2017-03-16,50.639999,50.919998,50.470001,50.700001,43.396900,3147300
2017-03-17,51.000000,51.430000,50.799999,50.980000,43.636562,5150100
2017-03-20,51.049999,51.790001,50.980000,51.509998,44.090229,2634900
2017-03-21,51.570000,51.799999,50.389999,50.410000,43.148678,4896800
2017-03-22,50.619999,50.619999,49.939999,50.310001,43.063084,2785700
2017-03-23,50.240002,51.279999,50.160000,50.860001,43.533859,2754500
2017-03-24,50.970001,51.250000,50.930000,51.029999,43.679359,2177000
2017-03-27,50.770000,51.009998,49.750000,49.869999,42.686459,2368300
2017-03-28,49.900002,50.380001,49.439999,50.299999,43.054520,2949300
2017-03-29,50.169998,50.650002,49.950001,50.639999,43.345547,2524900
2017-03-30,50.630001,51.259998,50.360001,51.180000,43.807762,1972600
2017-03-31,51.119999,51.939999,50.990002,51.880001,44.406925,3736800
2017-04-03,51.790001,52.389999,51.660000,52.240002,44.715065,3512500
2017-04-04,52.130001,52.590000,51.910000,52.500000,44.937611,2711600
