Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,100.580002,101.440002,100.220001,100.879997,94.652214,282200
2016-12-02,100.709999,101.610001,99.650002,99.860001,93.695190,193200
2016-12-05,99.760002,102.639999,99.760002,102.410004,96.087761,163600
2016-12-06,102.279999,104.410004,102.279999,103.959999,97.542084,320200
2016-12-07,103.720001,105.080002,103.000000,104.849998,98.377144,208600
2016-12-08,105.250000,107.550003,104.879997,107.489998,100.854156,288300
2016-12-09,107.110001,107.389999,106.129997,106.769997,100.178596,273200
2016-12-12,106.709999,107.260002,105.620003,105.919998,99.381058,172200
2016-12-13,106.150002,107.589996,105.650002,107.040001,100.431938,224000
2016-12-14,107.519997,107.589996,105.589996,105.790001,99.259109,251800
2016-12-15,106.080002,106.379997,105.220001,105.790001,99.259109,206200
2016-12-16,105.540001,107.330002,105.540001,106.309998,99.746986,529400
2016-12-19,106.820000,107.930000,105.220001,106.160004,99.606270,266400
2016-12-20,105.980003,107.980003,105.620003,106.000000,99.456123,296100
2016-12-21,105.980003,107.419998,105.279999,105.529999,99.015160,316800
2016-12-22,105.680000,106.080002,104.639999,105.089996,98.602310,164900
2016-12-23,104.970001,106.269997,104.970001,105.779999,99.249718,166100
2016-12-27,106.300003,107.099998,105.339996,106.010002,99.465530,144500
2016-12-28,106.040001,106.150002,104.879997,105.139999,98.649223,136300
2016-12-29,105.120003,106.650002,105.010002,105.680000,99.155884,105600
2016-12-30,105.570000,106.070000,103.989998,104.339996,97.898605,348800
2017-01-03,104.839996,105.070000,103.839996,104.639999,98.180084,234500
2017-01-04,104.720001,107.550003,104.720001,105.800003,99.268478,318000
2017-01-05,105.940002,107.260002,105.330002,106.129997,99.578094,281600
2017-01-06,106.379997,106.379997,104.370003,104.400002,97.954895,319400
2017-01-09,103.820000,104.190002,103.370003,103.930000,97.513931,190200
2017-01-10,103.699997,105.110001,103.699997,104.709999,98.245773,156800
2017-01-11,104.690002,105.309998,104.059998,104.769997,98.302063,80300
2017-01-12,104.279999,104.629997,102.959999,104.209999,97.776634,194200
2017-01-13,104.820000,106.230003,104.820000,105.760002,99.230949,135900
2017-01-17,105.029999,105.760002,104.949997,105.190002,98.696114,128500
2017-01-18,105.440002,105.550003,104.559998,105.230003,98.733665,108500
2017-01-19,105.379997,105.500000,104.580002,104.790001,98.320847,77900
2017-01-20,104.910004,105.379997,104.570000,104.930000,98.452179,91900
2017-01-23,104.519997,106.440002,104.500000,104.959999,98.480324,111500
2017-01-24,105.250000,106.989998,105.250000,106.690002,100.103539,94500
2017-01-25,106.800003,107.290001,106.010002,106.449997,99.878342,142700
2017-01-26,106.720001,106.720001,105.300003,105.500000,98.986984,82400
2017-01-27,105.190002,105.379997,103.010002,105.029999,98.546013,110700
2017-01-30,105.040001,107.269997,103.970001,104.930000,98.452179,105000
2017-01-31,105.000000,105.709999,104.510002,105.559998,99.043282,135800
2017-02-01,105.760002,106.980003,103.800003,105.580002,99.062065,234000
2017-02-02,105.739998,106.900002,103.440002,106.739998,100.150444,238900
2017-02-03,106.989998,108.709999,106.519997,108.160004,101.482765,201700
2017-02-06,107.470001,108.470001,106.120003,107.419998,100.788475,137800
2017-02-07,107.320000,108.250000,106.410004,107.400002,100.769707,112600
2017-02-08,107.529999,108.400002,106.480003,107.370003,100.741539,105100
2017-02-09,107.940002,109.470001,107.849998,109.360001,102.608711,182800
2017-02-10,109.199997,110.000000,108.680000,109.860001,103.077835,160900
2017-02-13,109.610001,110.589996,109.279999,110.220001,103.415604,188800
2017-02-14,110.660004,111.589996,110.150002,110.910004,104.063004,421100
2017-02-15,110.900002,112.330002,109.790001,112.300003,105.367203,200700
2017-02-16,115.669998,116.000000,113.040001,114.389999,107.328163,489700
2017-02-17,114.889999,116.900002,114.480003,116.610001,109.411118,406800
2017-02-21,115.910004,117.800003,115.910004,116.760002,109.551872,307200
2017-02-22,116.949997,117.070000,115.660004,116.370003,109.185951,222100
2017-02-23,116.389999,116.389999,114.650002,114.949997,107.853615,181300
2017-02-24,114.910004,116.300003,114.500000,116.099998,108.932610,253500
2017-02-27,116.279999,117.250000,115.559998,117.150002,109.917786,276200
2017-02-28,116.580002,117.010002,114.589996,114.709999,107.628410,357000
2017-03-01,115.379997,117.320000,115.180000,117.040001,109.814575,275400
2017-03-02,116.690002,116.879997,115.370003,115.669998,108.529144,189700
2017-03-03,115.720001,117.010002,115.690002,116.430000,109.242226,150600
2017-03-06,115.669998,116.480003,114.889999,115.860001,108.707420,155600
2017-03-07,115.309998,116.779999,115.309998,115.989998,108.829376,197200
2017-03-08,116.110001,117.260002,115.730003,116.820000,109.608162,153100
2017-03-09,117.139999,117.370003,116.570000,116.989998,109.767662,227400
2017-03-10,116.820000,118.860001,116.820000,118.389999,111.081223,199600
2017-03-13,118.389999,119.029999,117.809998,118.919998,111.871452,209400
2017-03-14,118.879997,119.199997,117.809998,117.839996,110.855469,176800
2017-03-15,118.379997,120.029999,118.120003,119.750000,112.652252,203600
2017-03-16,119.830002,119.830002,119.120003,119.570000,112.482933,189800
2017-03-17,119.699997,121.309998,119.419998,120.949997,113.781136,297600
2017-03-20,120.839996,120.839996,119.709999,120.580002,113.433075,161400
2017-03-21,120.529999,120.669998,118.459999,118.800003,111.758575,350700
2017-03-22,118.459999,119.510002,118.080002,119.370003,112.294777,260300
2017-03-23,119.379997,119.809998,118.629997,118.849998,111.805603,299400
2017-03-24,119.019997,119.849998,118.099998,118.930000,111.880875,177600
2017-03-27,117.980003,119.080002,117.389999,118.820000,111.777374,255800
2017-03-28,118.599998,120.300003,118.500000,120.129997,113.009727,235000
2017-03-29,120.169998,120.169998,118.980003,119.400002,112.323013,156100
2017-03-30,119.320000,120.000000,118.459999,118.910004,111.862045,210300
2017-03-31,119.019997,119.760002,118.820000,119.330002,112.257149,191500
