Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,45.130001,45.590000,44.680000,45.540001,40.212360,1963400
2016-12-02,45.650002,46.279999,45.400002,45.560001,40.230034,1679000
2016-12-05,45.880001,46.410000,45.590000,46.410000,40.980583,1839300
2016-12-06,46.540001,47.419998,45.950001,47.419998,41.872425,1698500
2016-12-07,47.209999,48.070000,46.910000,47.990002,42.375740,1224200
2016-12-08,48.200001,48.930000,47.959999,48.860001,43.143970,1143700
2016-12-09,48.799999,48.830002,48.070000,48.470001,42.799595,1064500
2016-12-12,48.529999,48.790001,48.340000,48.549999,42.870228,1009100
2016-12-13,48.790001,48.799999,47.790001,48.540001,42.861404,1336400
2016-12-14,48.259998,49.250000,48.029999,48.160000,42.525852,1669100
2016-12-15,48.230000,49.389999,48.020000,48.680000,42.985020,1169700
2016-12-16,48.790001,49.090000,48.380001,48.509998,42.834923,1661600
2016-12-19,48.380001,49.070000,48.150002,48.980000,43.249931,638400
2016-12-20,49.430000,49.630001,49.020000,49.240002,43.479507,717300
2016-12-21,49.240002,49.240002,48.790001,48.900002,43.179291,971000
2016-12-22,49.020000,49.130001,48.400002,48.889999,43.170452,845600
2016-12-23,48.840000,49.060001,48.790001,48.950001,43.223442,532800
2016-12-27,49.020000,49.270000,48.790001,49.099998,43.355892,733100
2016-12-28,49.279999,49.590000,48.779999,48.830002,43.117466,864900
2016-12-29,48.980000,49.240002,48.660000,48.849998,43.135132,845500
2016-12-30,49.110001,49.110001,48.540001,48.779999,43.073326,603500
2017-01-03,49.480000,49.950001,48.700001,49.759998,43.938675,1340500
2017-01-04,50.000000,50.980000,49.759998,50.910000,44.954140,1677200
2017-01-05,50.500000,50.689999,48.450001,48.599998,42.914387,2510900
2017-01-06,48.529999,48.799999,48.150002,48.299999,42.649483,1608800
2017-01-09,48.220001,48.660000,47.810001,48.349998,42.693619,946000
2017-01-10,48.939999,49.360001,48.560001,49.020000,43.285248,931100
2017-01-11,49.000000,49.320000,48.630001,49.230000,43.470673,1317500
2017-01-12,49.070000,49.450001,48.689999,49.369999,43.594299,788200
2017-01-13,49.470001,50.049999,49.450001,49.910000,44.071129,614500
2017-01-17,49.549999,49.990002,48.959999,49.119999,43.373550,824200
2017-01-18,49.150002,49.529999,48.660000,49.349998,43.576633,1070400
2017-01-19,49.540001,49.540001,48.360001,48.590000,42.905552,1049800
2017-01-20,48.619999,49.250000,48.540001,48.900002,43.179291,1007000
2017-01-23,48.759998,49.180000,48.180000,48.639999,42.949699,852400
2017-01-24,48.930000,49.410000,48.689999,49.369999,43.594299,1092400
2017-01-25,49.869999,50.230000,49.360001,49.810001,43.982830,809300
2017-01-26,49.849998,50.299999,49.270000,49.930000,44.088783,1684500
2017-01-27,45.450001,46.779999,45.000000,46.299999,40.883450,3222000
2017-01-30,46.110001,46.250000,45.349998,46.230000,40.821640,1375100
2017-01-31,46.150002,47.110001,45.480000,47.060001,41.554543,1680500
2017-02-01,47.490002,48.340000,47.000000,47.220001,41.695824,1140100
