ticker,date,open,high,low,close,volume,closeadj,closeunadj,lastupdated
AAPL,2018-09-04,57.102,57.295,56.657,57.09,109560528.0,54.754,228.36,2023-02-10
AAPL,2018-09-05,57.248,57.417,56.275,56.718,133331840.0,54.396,226.87,2023-02-10
AAPL,2018-09-06,56.557,56.837,55.325,55.775,137159904.0,53.493,223.1,2023-02-10
AAPL,2018-09-07,55.462,56.343,55.178,55.325,150479240.0,53.061,221.3,2023-02-10
AAPL,2018-09-10,55.237,55.462,54.117,54.583,158065812.0,52.349,218.33,2023-02-10
AAPL,2018-09-11,54.502,56.075,54.14,55.962,142996196.0,53.672,223.85,2023-02-10
AAPL,2018-09-12,56.235,56.25,54.96,55.267,197114960.0,53.006,221.07,2023-02-10
AAPL,2018-09-13,55.88,57.087,55.642,56.602,166825508.0,54.286,226.41,2023-02-10
AAPL,2018-09-14,56.438,56.71,55.63,55.96,127997156.0,53.67,223.84,2023-02-10
AAPL,2018-09-17,55.538,55.737,54.318,54.47,148780532.0,52.241,217.88,2023-02-10
AAPL,2018-09-18,54.447,55.462,54.28,54.56,126286848.0,52.327,218.24,2023-02-10
AAPL,2018-09-19,54.625,54.905,53.825,54.593,108495332.0,52.358,218.37,2023-02-10
AAPL,2018-09-20,55.06,55.57,54.788,55.008,106435176.0,52.756,220.03,2023-02-10
AAPL,2018-09-21,55.195,55.34,54.322,54.415,384986992.0,52.188,217.66,2023-02-10
AAPL,2018-09-24,54.205,55.315,54.157,55.197,110773432.0,52.939,220.79,2023-02-10
AAPL,2018-09-25,54.938,55.705,54.925,55.547,98217516.0,53.274,222.19,2023-02-10
AAPL,2018-09-26,55.25,55.938,54.94,55.105,95938824.0,52.85,220.42,2023-02-10
AAPL,2018-09-27,55.955,56.61,55.885,56.237,120724908.0,53.936,224.95,2023-02-10
AAPL,2018-09-28,56.197,56.46,56.005,56.435,91717456.0,54.126,225.74,2023-02-10
AAPL,2018-10-01,56.987,57.355,56.587,56.815,94403208.0,54.49,227.26,2023-02-10
AAPL,2018-10-02,56.812,57.5,56.657,57.32,99152680.0,54.974,229.28,2023-02-10
AAPL,2018-10-03,57.513,58.367,57.445,58.017,114619196.0,55.643,232.07,2023-02-10
AAPL,2018-10-04,57.695,58.087,56.682,56.998,128168000.0,54.665,227.99,2023-02-10
AAPL,2018-10-05,56.99,57.102,55.145,56.072,134321852.0,53.778,224.29,2023-02-10
